Name,SMILES
AAEVYOVXGOFMJO-UHFFFAOYSA-N,S(C)c1nc(NC(C)C)nc(NC(C)C)n1
ABICJYZKIYUWEE-UHFFFAOYSA-N,O=[N+]([O-])C1C(=O)NC(=O)NC1=O
ADIMAYPTOBDMTL-UHFFFAOYSA-N,Clc1cc2C(=NC(O)C(=O)Nc2cc1)c1ccccc1
AEXMKKGTQYQZCS-UHFFFAOYSA-N,C(CC)(CC)(C)C
AFFLGGQVNFXPEV-UHFFFAOYSA-N,C(=C)CCCCCCCC
AFOGBLYPWJJVAL-UHFFFAOYSA-N,S(=O)(=O)(NC(=O)NCCCC)c1ccccc1
AFPHTEQTJZKQAQ-UHFFFAOYSA-N,O=[N+]([O-])c1cc(C(=O)O)ccc1
AFYCEAFSNDLKSX-UHFFFAOYSA-N,O=c1oc2c(c(C)c1)ccc(N(CC)CC)c2
AGAHNABIDCTLHW-UHFFFAOYSA-N,Fc1ccc(C(=O)CCCN2CCC(O)(c3ccc(C)cc3)CC2)cc1
AGMMTXLNIQSRCG-UHFFFAOYSA-N,Clc1c(S(=O)(=O)N)cc2C(=O)NC(CC)Nc2c1
AHJKRLASYNVKDZ-UHFFFAOYSA-N,ClC(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1
AIKKULXCBHRFOS-UHFFFAOYSA-N,S=P(SCC(=O)N(C=O)C)(OC)OC
AIVXUNRQBRKFJO-UHFFFAOYSA-N,S(=O)(=O)(N)c1sc2C(=O)CCSc2c1
AKUJBENLRBOFTD-UHFFFAOYSA-N,FC12C3(C)C(=CC(=O)C=C3)CCC1C1C(C)(C(O)(C(=O)COC(=O)C)C(C)C1)CC2O
AMEKQAFGQBKLKX-UHFFFAOYSA-N,O=C(Nc1ccccc1)C1=C(OCCS1(=O)=O)C
AMMPGYPPRLWMLW-UHFFFAOYSA-N,O=[N+]([O-])c1cc(N)c(OCC)cc1
AMQJEAYHLZJPGS-UHFFFAOYSA-N,OCCCCC
AMRQXHFXNZFDCH-UHFFFAOYSA-N,O=C(OC(C(=O)NCC)C)Nc1ccccc1
ANJTVLIZGCUXLD-UHFFFAOYSA-N,O=c1n2c(ccc1)C1CNCC(C2)C1
APSMUYYLXZULMS-UHFFFAOYSA-N,Brc1cc2c(cc1)cccc2
APTGDJCKNMNFID-UHFFFAOYSA-N,S(=O)(=O)(N)c1sc2S(=O)(=O)CC(O)Cc2c1
AQCHWTWZEMGIFD-UHFFFAOYSA-N,Clc1c(S(=O)(=O)N)cc2C(=O)N(c3c(C)cccc3)C(C)Nc2c1
AQIXAKUUQRKLND-UHFFFAOYSA-N,S(CCN/C(=N/C)/NC#N)Cc1c(C)[nH]cn1
AQIXEPGDORPWBJ-UHFFFAOYSA-N,OC(CC)CC
ARCGXLSVLAOJQL-UHFFFAOYSA-N,O=C(O)c1c(C(=O)O)ccc(C(=O)O)c1
ARGDYOIRHYLIMT-UHFFFAOYSA-N,ClN(Cl)S(=O)(=O)c1ccc(C)cc1
ARSRBNBHOADGJU-UHFFFAOYSA-N,Cc1c2c(c(C)c3c1cccc3)ccc1c2cccc1
ATROHALUCMTWTB-UHFFFAOYSA-N,S=P(ON=C(C#N)c1ccccc1)(OCC)OCC
AUKRYONWZHRJRE-UHFFFAOYSA-N,Oc1c2c(cc3c1cccc3)cccc2
AUNGANRZJHBGPY-UHFFFAOYSA-N,O=c1nc2n(CC(O)C(O)C(O)CO)c3c(nc2c(=O)[nH]1)cc(C)c(C)c3
AUZONCFQVSMFAP-UHFFFAOYSA-N,S(SC(=S)N(CC)CC)C(=S)N(CC)CC
AVQQQNCBBIEMEU-UHFFFAOYSA-N,O=C(N(C)C)N(C)C
AVZVLGDSSQKRGL-UHFFFAOYSA-N,O=C(COC(=O)c1ccccc1)N1CCOCC1
AWMVMTVKBNGEAK-UHFFFAOYSA-N,c1(C2OC2)ccccc1
AXGUBXVWZBFQGA-UHFFFAOYSA-N,Clc1ccc(C(O)(C(=O)OC(C)C)c2ccc(Cl)cc2)cc1
AYFVYJQAPQTCCC-UHFFFAOYSA-N,O=C(O)C(N)C(O)C
