,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,HOMO,LUMO,LsoluHsolv,LsolvHsolu,gas_dip,solv_dip,O_charges,C_charges,Most_neg,Most_pos,Het_charges,Volume,SASA,MW,N_atoms,MP
E0_gas,1.0,0.999999999996082,0.0002924251915195246,0.9999992697189785,0.9999992699352387,3.772557327797353e-05,0.009214734263152028,0.044493599056033534,0.044493599056033534,0.009214734263152023,0.00017591170075453478,0.00023999866335060692,9.678575343039422e-06,0.005368258574224993,0.0004146687945155527,0.019924037916980414,0.032177407752871194,0.03793620047124251,0.021650846101968844,0.23781674079937476,0.00041443651402065624,0.03527860346544774
E0_solv,0.999999999996082,1.0,0.0002924928706040807,0.9999992696431331,0.9999992698672224,3.774892185815323e-05,0.009214818770924718,0.044493788663255984,0.04449378866325605,0.009214818770924713,0.0001759374320706831,0.0002400290473535529,9.670500074429226e-06,0.0053683122393959355,0.00041465215263434586,0.019924238015613514,0.03217702629382391,0.03793638827236119,0.021651007443343334,0.23781733782058834,0.0004144195649622613,0.035278722544716645
DeltaE0_sol,0.0002924251915195246,0.0002924928706040807,1.0,0.0002918040719736414,0.0002918716430033821,0.9220372304029801,0.05018984482721071,0.05320900045957224,0.05320900045957221,0.050189844827210756,0.24038472802410998,0.2457111114123772,0.4300419103741906,0.03469908082390862,0.04247509181982135,0.12996741333247436,0.28527949472165265,0.06095560230130767,0.0781155033461264,0.10086095846529729,0.04408317769874783,0.026686523630665974
G_gas,0.9999992697189785,0.9999992696431331,0.0002918040719736414,1.0,0.9999999999957545,3.7070828380442606e-05,0.009213931180117768,0.044536781315986436,0.04453678131598645,0.00921393118011774,0.0001754667773190232,0.00023956989654157156,9.720251032107846e-06,0.005378669736500553,0.0004154660264157003,0.01992063822904558,0.03219026726224262,0.03792600586380346,0.021645129070002697,0.23782635086295273,0.0004161809813122825,0.03532225482605027
G_solv,0.9999992699352387,0.9999992698672224,0.0002918716430033821,0.9999999999957545,1.0,3.7095914633743854e-05,0.009214027026626413,0.04453697710845308,0.044536977108453106,0.009214027026626406,0.0001754921506215809,0.00023959966999548645,9.71163402337738e-06,0.005378728546824448,0.00041544847844316796,0.019920850186682024,0.032189870555390104,0.03792618742471574,0.0216452867354528,0.23782693907808497,0.0004161647675708698,0.035322365524910776
DeltaG_sol,3.772557327797353e-05,3.774892185815323e-05,0.9220372304029801,3.7070828380442606e-05,3.7095914633743854e-05,1.0,0.05903034927697565,0.05129626789794162,0.051296267897941644,0.059030349276975716,0.21624884307506173,0.21809707246447446,0.4502757576022466,0.03806244266072174,0.043620182578177055,0.1335099416624027,0.2868947714082671,0.05175085884079731,0.06813476659177793,0.087467973776636,0.03717096608094453,0.020769412189402432
HOMO,0.009214734263152028,0.009214818770924718,0.05018984482721071,0.009213931180117768,0.009214027026626413,0.05903034927697565,1.0,0.09400795933320444,0.09400795933320455,0.9999999999999982,0.01608751501874889,0.013392456784116357,0.1941039623045406,0.1998200128377806,0.004993974054355433,0.08783919181469815,0.0018421461717239075,0.13819104904095056,0.14067112980271304,0.052145777889960915,0.19251488926371388,0.09136612531712819
LUMO,0.044493599056033534,0.044493788663255984,0.05320900045957224,0.044536781315986436,0.04453697710845308,0.05129626789794162,0.09400795933320444,1.0,0.9999999999999998,0.09400795933320455,0.05096379850537652,0.050385635867973025,0.0515065737034416,0.17172334016589386,0.0628556395499874,0.00010904814948174366,0.04400626526038433,1.6545166190236064e-05,0.00025159223191370127,0.05386901165605468,0.043814445832258866,0.012891517287664488
LsoluHsolv,0.044493599056033534,0.04449378866325605,0.05320900045957221,0.04453678131598645,0.044536977108453106,0.051296267897941644,0.09400795933320455,0.9999999999999998,1.0,0.09400795933320448,0.05096379850537654,0.050385635867973025,0.05150657370344158,0.1717233401658938,0.06285563954998742,0.00010904814948174403,0.044006265260384314,1.654516619023619e-05,0.00025159223191370186,0.053869011656054525,0.043814445832258846,0.012891517287664467
LsolvHsolu,0.009214734263152023,0.009214818770924713,0.050189844827210756,0.00921393118011774,0.009214027026626406,0.059030349276975716,0.9999999999999982,0.09400795933320455,0.09400795933320448,1.0,0.016087515018748905,0.013392456784116385,0.19410396230454047,0.19982001283778075,0.004993974054355449,0.08783919181469822,0.0018421461717239057,0.13819104904095045,0.14067112980271326,0.05214577788996085,0.19251488926371388,0.09136612531712812
gas_dip,0.00017591170075453478,0.0001759374320706831,0.24038472802410998,0.0001754667773190232,0.0001754921506215809,0.21624884307506173,0.01608751501874889,0.05096379850537652,0.05096379850537654,0.016087515018748905,1.0,0.9961172411110945,0.06736316039962548,0.028901084957492995,0.042506764060233224,0.030645541478736403,0.05254273874718516,4.163690353452107e-05,0.0012545609600494233,0.004753244766669461,3.762347028256289e-06,0.0010342672243686085
solv_dip,0.00023999866335060692,0.0002400290473535529,0.2457111114123772,0.00023956989654157156,0.00023959966999548645,0.21809707246447446,0.013392456784116357,0.050385635867973025,0.050385635867973025,0.013392456784116385,0.9961172411110945,1.0,0.06740257111935144,0.027492236705355836,0.04344684462898754,0.032428071576472074,0.05321155814654854,0.000222050262650844,0.0019541519041129138,0.0060649539502910365,9.644413090486815e-05,0.0006429187836167243
O_charges,9.678575343039422e-06,9.670500074429226e-06,0.4300419103741906,9.720251032107846e-06,9.71163402337738e-06,0.4502757576022466,0.1941039623045406,0.0515065737034416,0.05150657370344158,0.19410396230454047,0.06736316039962548,0.06740257111935144,1.0,0.10159539059029134,0.0727740739178403,0.25326501253775774,0.3358175127177196,0.007434795570976138,0.010135039361002615,0.03598217678505414,0.004370474393913527,0.0005267625071917956
C_charges,0.005368258574224993,0.0053683122393959355,0.03469908082390862,0.005378669736500553,0.005378728546824448,0.03806244266072174,0.1998200128377806,0.17172334016589386,0.1717233401658938,0.19982001283778075,0.028901084957492995,0.027492236705355836,0.10159539059029134,1.0,0.0013625571173805878,0.016809875730017493,0.04858951807396682,0.4292488969773725,0.45255784060317866,0.17099840365096655,0.623730518784702,0.013599036431335218
Most_neg,0.0004146687945155527,0.00041465215263434586,0.04247509181982135,0.0004154660264157003,0.00041544847844316796,0.043620182578177055,0.004993974054355433,0.0628556395499874,0.06285563954998742,0.004993974054355449,0.042506764060233224,0.04344684462898754,0.0727740739178403,0.0013625571173805878,1.0,0.3945261364911792,0.11633065085309503,0.0041196383336877555,0.0013737452374336337,0.008499029273459252,0.00023806919721136447,0.03889344775018028
Most_pos,0.019924037916980414,0.019924238015613514,0.12996741333247436,0.01992063822904558,0.019920850186682024,0.1335099416624027,0.08783919181469815,0.00010904814948174366,0.00010904814948174403,0.08783919181469822,0.030645541478736403,0.032428071576472074,0.25326501253775774,0.016809875730017493,0.3945261364911792,1.0,0.04299045803534953,0.00041351618563452777,0.0009548965584005988,0.009431563629433563,0.001116898223726846,0.0017471926600755314
