StdInChIKey,SMILES,Train_test,LogS,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,HF_E0_gas,HF_E0_solv,HF_DeltaE0_sol,HF_G_gas,HF_G_solv,HF_DeltaG_sol,gas_dip,solv_dip,HOMO,LUMO,LsoluHsolv,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,Area1,Area2,Area3,Asp1,Asp2,Asp3,No_regions,Tot_charge,Neg_charge,Pos_charge,Big_area,Big_charge,Big_std,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,principal component 7,principal component 8,principal component 9,principal component 10,principal component 11,principal component 12,principal component 13,principal component 14,principal component 15,principal component 16,principal component 17,principal component 18,principal component 19,principal component 20,principal component 21,principal component 22
ABLACSIRCKEUOB-UHFFFAOYSA-N,Cc1cc(O)c2C(=O)c3c(O)cc(O)c4C(=O)C(C)(C)c5cc(O)c1c2c5c34,Test,-3.332075128,376.365,330.0,253.697,-1299.455146,-1299.4615720000002,-0.00642638,-1299.1676730000001,-1299.174115,-0.006442,-1275.358804,-1275.380739,-0.02193491,-1275.015685,-1275.0374570000001,-0.021772,7.6898,9.2373,-0.22734000000000001,-0.1025,0.07782,0.06842999999999999,533.0968628,-4.15364,-0.9890200000000001,-0.71924,0.59892,-4.15364,44,24551.5,28210.0,53922.5,0.524413792,0.625198025,0.9633026570000001,11,65.31560899,-152.85798219999998,218.1735912,3157,0.048190593,0.025238536000000002,3.4823925183591986,1.5826326134485453,-2.830581958600579,-1.2651287913476765,-1.6272584683976279,-1.7698757763071722,-0.03718207538216972,0.06638440936253753,3.1506646802844087,0.7729412851655789,-1.0487145305162668,-0.12030253152077777,0.23608869311339017,-0.012091431855996163,-0.16124214181191282,0.19515753984464834,0.09172981368984674,-0.0005350390844240619,-2.9598386922649743e-10,1.9404441582358433e-13,-3.957424156591065e-16,-4.655873944172602e-16
ABTUPTPDCSVHOI-UHFFFAOYSA-N,O=C1CCCCCCCCCCCCCCCCCN1,Train,0.171100776,281.482,101.5,267.676,-837.0361108,-837.0412076,-0.005096804,-836.575896,-836.5810759999999,-0.00518,-821.3884164,-821.4077139999999,-0.019297559,-820.8256690000001,-820.8429309999999,-0.017262,4.4352,5.0901,-0.24961999999999998,-0.0027,0.17762,0.09071,566.0393066,-0.68286,-7.0856699999999995,-0.68286,0.69076,-1.3449799999999998,55,25825.5,31896.5,54530.5,0.42294636,0.53526971,0.775146489,2,-1.011807489,-123.2143189,122.2025114,4328,0.028235331000000002,0.008015155,1.1566729494790862,-2.6487635588627088,-1.600651934825772,1.2618637959172272,-0.46825830771835214,2.626671478460405,-1.1632963230034272,0.7139445847565737,-0.0697334995790917,0.08139280058251756,0.03430914579892867,-0.4772131176373871,0.25150026269086473,0.028463679120109546,-0.39607819943820005,-0.007755541871974767,-0.012966045726640976,0.000294312950099588,5.1540193616743447e-11,-6.86582605193395e-14,1.2639437725801647e-16,9.532636409320289e-16
ACGUYXCXAPNIKK-UHFFFAOYSA-N,Oc1c(Cl)cc(Cl)c(Cl)c1Cc2c(O)c(Cl)cc(Cl)c2Cl,Test,-0.885219291,406.907,162.0,193.55900000000003,-3410.6303439999997,-3410.6338969999997,-0.00355284,-3410.520744,-3410.524454,-0.00371,-3364.90093,-3364.92109,-0.02015969,-3364.7638369999995,-3364.783945,-0.020108,1.6286,1.9344,-0.24566,-0.05417999999999999,0.12614,0.08675,517.3945923,-1.39794,-0.93758,-0.69897,0.52451,-1.24264,27,28030.5,38403.5,43427.0,0.574772419,0.658184178,0.805528467,10,103.16360870000001,-17.96991661,121.1335253,1112,0.038329332,0.01810803,3.0223704345048157,0.088226937951265,3.8123659624131867,1.5533189303469592,0.08132793342613773,-0.5648295451972024,-0.48304730253607997,-0.6774815800046164,0.7332281645500538,0.0542585262624296,-0.17315532576109433,1.0239311441821526,-0.6479477663493637,-0.09454268785333558,-0.007260714695629146,0.23971572064071314,0.015216390194300643,-2.4886973535876665e-05,3.760922461852303e-11,1.919451613647114e-13,7.330176507550402e-16,2.884961693401214e-16
ADGVSBKVUXRJQH-UHFFFAOYSA-N,O(C1(c2ccccc2)c3ccccc3c4ccccc14)C5(c6ccccc6)c7ccccc7c8ccccc58,Train,-0.5681824289999999,498.624,239.0,368.181,-1538.9782289999998,-1538.982566,-0.00433716,-1538.5185210000002,-1538.523043,-0.004522,-1510.347447,-1510.375107,-0.02766021,-1509.801536,-1509.8287480000001,-0.027212,1.4903,1.6959,-0.21818,-0.04935,0.13097,0.05927,724.4598999,-0.59506,-5.87558,-0.59506,0.26142,-0.59506,65,48783.0,48982.5,53243.0,0.846666667,0.8606442120000001,0.984555985,13,-102.003156,-156.0517053,54.04854924,1455,-0.025654432,0.0031439209999999996,4.361122615191755,-4.501497746600725,0.10832365699775626,-0.8293793556142575,0.9936487900174658,0.9821380664748098,-0.28795038831094555,0.43532447166842,0.535674520260865,-0.5227406301367906,-0.26953513799459833,0.9188933089984613,-0.1051113335894269,-0.06046258603933838,-0.40211738205034964,-0.17855833945975716,-0.021875071767832724,-0.00029883211425644427,-1.8462512174227924e-10,1.1640677272886674e-13,-9.500405600550923e-16,-6.257488845887681e-16
AEDIXYWIVPYNBI-UHFFFAOYSA-N,CCCCCCC(N)=O,Train,-1.3426903280000002,129.202,97.0,111.728,-405.8001339,-405.8052283,-0.005094443,-405.621683,-405.62604,-0.004357,-398.17519300000004,-398.18419589999996,-0.009002982,-397.954535,-397.96356299999997,-0.009028,3.8015,4.3899,-0.25999,-0.00926,0.17106,0.10107999999999999,367.3771667,-0.66254,-2.41762,-0.8760399999999999,0.68018,-1.5385799999999998,24,19101.0,20918.0,28070.5,0.408730159,0.468429201,0.481308409,2,6.097777607,-104.1534705,110.2512481,2709,0.040698135,0.016626412,-2.683145988426099,-0.2255845090578004,-0.6705679813428468,1.7541195943051875,-0.9758020514046736,0.7422790226341663,-0.30153145193193737,0.4927906167034627,0.047909437003869015,-0.5343828133985146,0.014165401126911198,0.06142423972677731,-0.1074367091226499,0.2672853375110007,0.1288526257759173,-0.027033980875559572,-0.012049561954410358,-7.51378799509992e-05,-3.176559237339414e-11,-4.480120054077977e-14,-6.674780415202164e-16,-3.4226174684620564e-16
AFFZWQZWWRKJSU-UHFFFAOYSA-N,CC1(C)C4CCC1/C(=C/Nc3ccc2ccccc2c3)C4=O,Train,-1.750473715,305.42,185.5,253.549,-904.7882553999999,-904.792497,-0.0042416120000000005,-904.470727,-904.475785,-0.005058,-887.9318,-887.9498586000001,-0.018058586,-887.54891,-887.566886,-0.017976,2.5491,3.0135,-0.20092000000000002,-0.06437999999999999,0.11594000000000002,0.042010000000000006,549.8442993,-0.6393800000000001,-4.1542699999999995,-0.6764600000000001,0.5472,-1.22553,43,21748.5,36957.5,48703.5,0.465825345,0.504155125,0.9805097190000001,10,0.9733185520000001,-94.01780336,94.99112191,1927,0.029331264,0.007112043,1.2060052403547712,-2.790342873677923,-0.32918736855036945,-0.5920627694070889,-0.47682509246914484,0.007147958796604854,0.7439995392155416,-0.23355037369134948,0.016834852832482403,-0.06155347442673728,-0.04058148706742064,-0.07176620263258449,0.19766790730973086,-0.2751085074058319,-0.1465649216758802,0.08111926848977037,0.018916765849816084,5.029586471142456e-05,-1.6291711127928097e-11,-1.4044805536398893e-13,2.17163567412704e-15,-3.441107887716769e-16
AFPHTEQTJZKQAQ-UHFFFAOYSA-N,OC(=O)c1cccc(c1)[N+]([O-])=O,Test,-0.969402295,167.12099999999998,141.0,127.273,-625.349432,-625.3552887999999,-0.005856752,-625.267929,-625.273946,-0.006017,-613.6794206000001,-613.6902262,-0.010805651000000001,-613.580686,-613.591397,-0.010711,5.6292,6.4317,-0.30205,-0.11538,0.06494,0.14314000000000002,327.0773621,-2.10114,-0.04883,-0.72008,0.80794,-1.60249,17,13370.5,17845.0,29442.0,0.369747882,0.48351648399999997,0.9823322859999999,5,33.98608351,-142.4979269,176.48401040000002,4383,0.038690452,0.016411705,-1.6672971002289612,3.6096829726404027,-0.5050750538297631,-1.0670545846412947,-0.26026014653222557,0.8056008248723155,0.23041932883869085,0.5099742695025788,0.8749579627768318,-0.10417871044285784,0.05234547250147609,-0.05454536798567403,0.31101139091517055,-0.025147480972945425,0.0030935020036408855,-0.0011055720885995823,-0.016643746958682214,-5.545689637153478e-05,4.4578258898983747e-11,-3.773517135338575e-14,-2.4836160985440916e-15,2.303391853733585e-16
AGUIVNYEYSCPNI-UHFFFAOYSA-N,CN(c1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,Train,-0.810589193,287.145,129.0,193.40200000000002,-1144.905108,-1144.913311,-0.00820297,-1144.798269,-1144.8066919999999,-0.008423,-1123.53148,-1123.546012,-0.01453188,-1123.39945,-1123.413538,-0.014088,3.8769,4.5521,-0.31795999999999996,-0.16125,0.01907,0.15905,423.1567993,-2.9236299999999997,-0.34661,-0.48158999999999996,0.6241800000000001,-1.08525,25,23353.5,25248.5,36521.0,0.644406565,0.712574855,0.8648167859999999,5,237.54965869999998,-110.71966880000001,348.2693275,7718,0.045124297,0.014092101999999999,0.7105050874344938,4.200546115933354,-0.16591235555946254,-2.7503540070185823,1.8248761631451687,0.8913410017601174,-0.49007245682486356,0.10567287796877146,-0.3311522367109883,0.02582584233858703,-0.13222232455077298,0.22188404330957426,0.25478651178117656,0.043888842143111055,-0.16221399606292278,-0.026915864235286465,0.026237484559886066,1.1239239117523943e-05,2.6173897341669336e-11,1.0447175763514283e-13,4.584970603601989e-15,5.436882573881662e-15
ALBYIUDWACNRRB-UHFFFAOYSA-N,CCCCCC(N)=O,Train,-1.0581562740000001,115.175,100.0,119.575,-366.4854242,-366.49050800000003,-0.005083868,-366.333416,-366.337716,-0.0043,-359.5953672,-359.60331560000003,-0.007948341,-359.406879,-359.414833,-0.007954000000000001,3.7302,4.3103,-0.26008000000000003,-0.00915,0.17117000000000002,0.10117000000000001,335.2944336,-0.66255,-1.9573599999999998,-0.87603,0.68019,-1.5385799999999998,21,16536.5,19586.0,25287.0,0.449781659,0.512232404,0.5282051329999999,2,4.712223956,-104.39859820000001,109.1108221,2674,0.040804346,0.016669536999999998,-2.9581628330494305,-0.07772012034094188,-0.5876499019833243,1.7430091875127203,-0.9976006408461265,0.5372286931455025,-0.25314219054418113,0.5126928622181053,0.06103266511714933,-0.5194300594153383,0.06364504366054145,0.21803859991551885,0.1731675260441508,0.28543963419918345,0.11477925447927909,-0.0252989535000093,-0.010840769354040481,-4.6494936451473094e-05,-3.503632210459017e-11,-5.272571014313255e-14,-3.739939631358824e-16,3.382043094599454e-16
ALYNCZNDIQEVRV-UHFFFAOYSA-N,Nc1ccc(cc1)C(O)=O,Train,-2.34814254,137.138,187.0,110.295,-476.2024602,-476.20906669999994,-0.006606506,-476.104594,-476.110643,-0.0060490000000000006,-467.2971063,-467.3089669,-0.011860603999999999,-467.181796,-467.19424699999996,-0.012451,4.6383,4.9239,-0.2213,-0.044000000000000004,0.13632,0.06239,310.138855,-1.37798,-0.16557,-0.84473,0.80016,-2.2227099999999997,17,11304.5,17121.0,27500.0,0.38157894700000006,0.550632921,0.684471658,6,49.37447077,-106.9392568,156.3137276,2997,0.043480661,0.017328026,-1.9845615103776708,0.7722451929702113,-1.203629317185759,0.7290085302361542,-1.8137953275990555,-1.716814767832519,0.7386172410939351,0.3371020001970724,-0.06711108391186404,-0.026729320753720028,-0.000654946264956776,0.023751626789838498,0.2161414967293465,0.22052047965280758,0.03628615192448743,0.051076789720413865,-0.15731564314198626,-5.2949110752707716e-05,2.2988018503860287e-11,1.0718725759326563e-14,3.608477260461454e-16,1.3904767057118685e-16
