Method,n_trees,R2,RMSE,% within 1.0,% within 0.7,R2_std,RMSE_std,% 1.0 std,% 0.7 std
ET,1,0.3988577997046718,0.9315540733872202,74.22340425531917,61.042553191489354,0.08141559852307993,0.08319276573759116,4.17902539065324,4.530587371364984
ET,2,0.5291804549338559,0.7567407654375043,81.78723404255324,68.60638297872343,0.05524776072835834,0.049849368193895884,3.8588101997841306,4.31532747363022
ET,3,0.5774568789652214,0.6976654867546915,83.79787234042553,70.17021276595747,0.057584454240237636,0.05004338912800323,3.473976423783404,3.7403898592597646
ET,4,0.6113666379265057,0.6656679442704211,85.65957446808514,72.07446808510643,0.04243090364290432,0.03789116464248695,2.798254135989687,3.272400120523424
ET,5,0.6323564464092634,0.645073767266896,86.36170212765957,73.81914893617021,0.03513349159114882,0.03136041388325329,2.702236807169273,3.29856554211485
ET,6,0.648782600818792,0.6297602667976221,86.60638297872342,74.09574468085108,0.03699946089968821,0.03328770515691269,2.688303887320261,3.405917147570663
ET,7,0.6605769650630395,0.6191365399606304,87.7021276595745,75.0212765957447,0.033457976764062446,0.02976761979713652,2.71464581330792,3.5637215261133646
ET,8,0.6699109252202625,0.6111409098150722,87.77659574468083,75.09574468085113,0.03273842840072437,0.029959810086900317,2.4730185912870297,3.0207006591685124
ET,9,0.6820004577747036,0.6001558775124891,88.39361702127655,75.62765957446805,0.02795718148461464,0.02524625558502009,2.263526744727474,2.812983660302807
ET,10,0.6843389640567026,0.5979337526635919,88.43617021276596,75.52127659574467,0.02836303999042905,0.02589732526413422,2.335903060751275,2.902587673800875
ET,20,0.7095880990523418,0.5774580562596391,89.32978723404256,76.72340425531915,0.022322589937808755,0.020062246327906253,2.0867274846669717,2.481256125466084
ET,30,0.7199158085229632,0.5687107026233231,89.34042553191492,77.08510638297868,0.015981641805824866,0.014466945251123242,1.795346585423989,1.9797041446860153
ET,40,0.7265663868900117,0.5636102739773413,89.86170212765956,77.50000000000001,0.01329266592848216,0.012499321618559453,1.7727594862513154,2.2344518778044464
ET,50,0.7302154505035955,0.5608876822750358,90.15957446808508,77.34042553191483,0.011746796877966917,0.010701729104913108,1.652061609568769,2.0370789526730597
ET,60,0.7334283439598763,0.557844941561006,90.21276595744688,77.6914893617021,0.012489432374295971,0.011649591409492666,1.2468781177184851,1.8236180168666145
ET,70,0.7359221805664912,0.5560559112483999,90.23404255319151,77.70212765957444,0.01147535533268725,0.010480504569353625,1.4611556499846083,1.5265085967377734
ET,80,0.736031138978683,0.5555150591515442,90.3404255319149,77.5851063829787,0.009640570190507474,0.009225543281256974,1.4319153566584117,1.678695089155266
ET,90,0.7373930440830232,0.5547188264954788,90.08510638297874,77.86170212765954,0.010276025963504213,0.009350207728233252,1.4414636866519264,1.5836637037710044
ET,100,0.7374081388263088,0.554507870258075,89.97872340425536,77.55319148936167,0.009299716744321613,0.008739750042214644,1.1826991461112624,1.4062987821526258
ET,200,0.7406864194099447,0.5521095473157299,90.21276595744683,77.62765957446804,0.006955977485747532,0.006166286626214999,1.0029883421085777,1.1949594092355842
ET,300,0.7421122870933681,0.5509247724838038,90.00000000000001,77.63829787234039,0.005229276772761693,0.004774166969262489,0.9915252417298341,0.9796947123368184
ET,400,0.741594874586348,0.5513339276768305,89.95744680851062,77.79787234042554,0.004271465429155917,0.0040195619418949445,0.745678003600312,0.6703568800399662
ET,500,0.7422201572746496,0.5508216374717663,89.98936170212764,77.77659574468088,0.00359223806246583,0.0032979935441498735,0.6778187093618612,0.602836879432626
ET,600,0.7426609875084317,0.5505906061316496,89.9468085106383,77.91489361702129,0.003540985256277853,0.0034435609990449262,0.7911277364157361,0.6070885831764494
ET,700,0.7426493631716505,0.5504244302277693,89.96808510638299,77.76595744680853,0.003410287171273062,0.00314577816457775,0.7133182677490679,0.5345945825846887
ET,800,0.7431661430584139,0.5500480226415794,89.88297872340428,77.73404255319154,0.00286036241526013,0.002737808462624561,0.6502744864222184,0.4842140416022528
ET,900,0.743911607159597,0.5494673964830603,89.93617021276597,77.76595744680854,0.002919839327829122,0.0027276654744540388,0.6489546667412965,0.48996402816153195
ET,1000,0.7431712579494082,0.5501301281251572,89.86170212765961,77.78723404255322,0.003096133628450678,0.002858928665274014,0.6133642934491096,0.4350956239536588
ET,2000,0.7437181217980019,0.5496293883291925,89.87234042553193,77.76595744680856,0.0020305697859289112,0.0019156517117320448,0.5551553034591743,0.32075674955081646
ET,3000,0.7439371734960187,0.549431844146978,89.88297872340426,77.69148936170217,0.0016872906503247354,0.0015598735305891555,0.5344876529741467,0.23691649292937791
ET,4000,0.7439651654177533,0.549388879593971,89.90425531914894,77.65957446808515,0.0013398555567617023,0.001303595291740254,0.5344876529741465,5.712978550373078e-14
ET,5000,0.7439288920059455,0.5494459606626302,89.82978723404258,77.6702127659575,0.0010658300878720545,0.000981863844734809,0.5307315442232612,0.10638297872340555
