Descs,Removed,Model,R2,RMSE,% within 1,% within 0.5
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'C_charges']","['Most_neg', 'Most_pos', 'Het_charges']",ET,0.713738986,0.577823028,88.29787234,77.65957447
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'Most_neg']","['C_charges', 'Most_pos', 'Het_charges']",ET,0.71876156,0.571871999,87.23404255,78.72340426
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'Most_pos']","['C_charges', 'Most_neg', 'Het_charges']",ET,0.72183303,0.569789148,90.42553191,77.65957447
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'O_charges', 'Het_charges']","['C_charges', 'Most_neg', 'Most_pos']",ET,0.73455141,0.556961684,89.36170213,76.59574468
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'C_charges', 'Most_neg']","['O_charges', 'Most_pos', 'Het_charges']",ET,0.700608308,0.588828173,89.36170213,78.72340426
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'C_charges', 'Most_pos']","['O_charges', 'Most_neg', 'Het_charges']",ET,0.705077736,0.584910892,89.36170213,77.65957447
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'C_charges', 'Het_charges']","['O_charges', 'Most_neg', 'Most_pos']",ET,0.722606465,0.567676296,90.42553191,77.65957447
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'Most_neg', 'Most_pos']","['O_charges', 'C_charges', 'Het_charges']",ET,0.716857024,0.574180345,88.29787234,78.72340426
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'Most_neg', 'Het_charges']","['O_charges', 'C_charges', 'Most_pos']",ET,0.73640842,0.557399255,90.42553191,78.72340426
"['MW', 'MP', 'Volume', 'G_solv', 'DeltaG_sol', 'solv_dip', 'LsoluHsolv', 'LsolvHsolu', 'SASA', 'Most_pos', 'Het_charges']","['O_charges', 'C_charges', 'Most_neg']",ET,0.737991026,0.554603761,89.36170213,78.72340426
