Descriptor,Mean Importance,Std
MW,0.046645465953580434,0.0010200577541306238
MP,0.35826373650527654,0.0019228669866432303
Volume,0.03963367924022189,0.000690978909684618
G_solv,0.03159868807489145,0.0008016459644228164
DeltaG_sol,0.07414610311946941,0.001413122326173634
solv_dip,0.03987452862087917,0.0007279860175677113
LsoluHsolv,0.06081466745389279,0.001112025368413064
LsolvHsolu,0.05870923524702332,0.0011687437394402177
SASA,0.04703388657132794,0.0009556159046212446
O_charges,0.05872566647917769,0.0013785666495295518
C_charges,0.03429612600475378,0.0007131659917978322
Most_neg,0.03548244920101689,0.0007121838052842768
Most_pos,0.03179846350712471,0.0007774593576178005
Het_charges,0.08297730402136391,0.0016837783263292543
