StdInChIKey,MLR,PLS,ANN,SVM,RF,ExtraTrees,Bagging,GPR
ABLACSIRCKEUOB-UHFFFAOYSA-N,-2.827845625,-2.849240322,-1.677686742,-2.343670181,-2.870959802,-2.719732728,-2.847959971,-1.826848792
ACGUYXCXAPNIKK-UHFFFAOYSA-N,-0.863261297,-0.864549704,1.756349354,-0.772998083,-1.258287399,-1.280871772,-1.32950025,-0.918477746
AFPHTEQTJZKQAQ-UHFFFAOYSA-N,-1.100247605,-1.066503048,-1.300926309,-1.101317688,-1.633723153,-1.402339221,-1.657908695,-1.069408761
AXGXXLOKNNMCHP-UHFFFAOYSA-N,-0.209747733,-0.219232033,-0.06744871,0.025732259,-0.106697377,-0.089114698,-0.121050242,-0.121406342
BCXWMIMRDMIJGL-UHFFFAOYSA-N,-0.99017606,-1.016334085,-1.267227647,-0.945910744,-1.307444414,-1.330929259,-1.230330694,-1.105215686
BEYOBVMPDRKTNR-BUHFOSPRSA-N,-1.063124936,-1.091161124,-1.050028068,-0.950753673,-0.962121284,-0.976936335,-0.913463373,-1.005120494
BZEUYEFVVDTLOD-SNAWJCMRSA-N,-1.141857834,-1.125960303,-1.199765912,-1.121846159,-1.272109003,-1.341819604,-1.300499926,-1.000336224
CPJSUEIXXCENMM-UHFFFAOYSA-N,-1.346900648,-1.316875602,-2.028794579,-1.338205284,-1.330825577,-1.33067628,-1.34643274,-1.159006618
CSHWQDPOILHKBI-UHFFFAOYSA-N,-1.44190174,-1.501707514,-1.0473543,-1.663598744,-2.047275313,-1.957252045,-1.988191667,-1.658338675
CTVADTSNUUHIPU-FOCLMDBBSA-N,-0.502096379,-0.44050077,1.228417122,0.315999849,-0.016915786,-0.13726033,-0.079405387,0.157622705
CWFGKWQPVBFODR-HDICACEKSA-N,-1.780799212,-1.808136517,-2.837868242,-2.016620918,-1.626164424,-1.250285138,-1.553981549,-1.987713326
DIKMWTRJIZQJMY-CYFREDJKSA-N,-2.327370873,-2.320421628,-2.951589577,-2.493040717,-2.729569496,-2.523608849,-2.726804526,-2.638241204
DJDHQJFHXLBJNF-UHFFFAOYSA-N,-0.667882978,-0.672834671,-0.899481384,-0.591858405,-0.310786825,-0.458431157,-0.29081693,-0.60385264
DNXHEGUUPJUMQT-CBZIJGRNSA-N,-2.296477922,-2.340852,-2.805579102,-2.785267566,-2.632365598,-2.244165569,-2.606641994,-2.530787074
DPALPZWFXXPWMO-UHFFFAOYSA-N,-1.300595322,-1.27571343,-1.594237257,-1.211243369,-1.231699129,-1.304874977,-1.233871152,-1.183034561
FJWXOOJXUZNGNH-UHFFFAOYSA-N,-1.335640412,-1.251325402,-1.881810653,-1.322084319,-1.267346606,-1.417678248,-1.239213508,-1.609651288
FKVMWDZRDMCIAJ-UHFFFAOYSA-N,-1.156790566,-1.132840213,-1.68710415,-0.888298378,-1.389482736,-1.353932209,-1.325218168,-0.769007686
FUNGMMDHWWTWCC-UHFFFAOYSA-N,-1.657622571,-1.679130182,-1.006343664,-1.304988869,-2.267214275,-1.978437802,-2.24179219,-1.467933048
GKKDCARASOJPNG-UHFFFAOYSA-N,-2.778960273,-2.740273963,-1.954385051,-3.337321391,-2.012993546,-1.927923901,-1.939612775,-2.852850275
GXBUKHSYNSJJAV-ISLYRVAYSA-N,-1.375137724,-1.413112483,-1.690546178,-1.371997314,-1.575802945,-1.511459009,-1.519288199,-1.444857238
HAMMHSUBQYOIFQ-UHFFFAOYSA-N,-1.848834147,-1.856624337,-2.346864388,-2.256077428,-2.175103267,-2.095463227,-2.118365348,-2.084545517
HOHPPAHUSJCHHL-CMDGGOBGSA-N,-1.360881352,-1.321891328,-1.284929121,-1.115877924,-1.058561766,-0.762515143,-1.010107858,-0.973804448
HOHPPAHUSJCHHL-HJWRWDBZSA-N,-0.886594345,-0.920367668,0.048164349,-0.448639997,-0.331602562,-0.032894286,-0.350210537,-0.476830262
HXQJFCWQLPRPRG-UHFFFAOYSA-N,-1.731356754,-1.736803929,-1.845181356,-1.891541731,-1.853127209,-1.79999101,-1.916440881,-1.938702677
IHPDTPWNFBQHEB-KBPBESRZSA-N,-1.380670073,-1.354855678,-1.571931244,-1.70197128,-1.175493492,-1.164437417,-1.191766981,-1.605343816
IJFDOVWXJGQCGY-UHFFFAOYSA-N,-2.317900936,-2.286272243,-2.747666491,-3.077703963,-2.732914615,-2.957900967,-2.730228199,-3.056551773
IKCLCGXPQILATA-UHFFFAOYSA-N,-0.91022763,-0.907205397,-1.325306897,-1.049667812,-1.033236189,-1.110920056,-0.976544702,-1.038878861
IMNIMPAHZVJRPE-UHFFFAOYSA-N,-0.959682901,-0.974200337,0.203465667,-0.409986834,-0.982707185,-0.839759983,-1.004809489,-0.616594024
IQUPABOKLQSFBK-UHFFFAOYSA-N,-0.130503317,-0.152465393,-0.276855333,0.101266534,-0.159291369,-0.399782268,-0.15656963,-0.00572316
IVDVAMTYPIOUEQ-UHFFFAOYSA-N,-0.078108759,-0.110291187,0.016869361,0.252831917,-0.0929034,-0.089171352,-0.092715627,-0.077183376
JBWKIWSBJXDJDT-UHFFFAOYSA-N,-0.231393238,-0.2531374,-0.692730485,-0.028870088,-0.165859797,-0.253820999,-0.156255279,-0.254297773
JEPXWPONFKFPCB-UHFFFAOYSA-N,-0.826179452,-0.795232608,-1.661451294,-0.896978414,-0.873226185,-0.91833137,-0.864017129,-0.774621104
JHMMNVQXKFUCCZ-VOTSOKGWSA-N,-0.985424537,-0.941081632,-2.415136206,-1.535245057,-1.266583147,-1.062052903,-1.169513333,-1.492222468
JHWNWJKBPDFINM-UHFFFAOYSA-N,-1.153575593,-1.187516211,-1.186478356,-0.950518622,-0.909246817,-1.15728108,-0.912657278,-0.792026883
JLYXXMFPNIAWKQ-CDRYSYESSA-N,-2.402518731,-2.408235696,-0.876752615,-1.339289357,-1.966158471,-1.896701454,-1.892072688,-1.060685296
JYMZGBAJQCQZCZ-UHFFFAOYSA-N,-2.960393414,-2.942681996,-2.233255631,-2.994978865,-2.350974539,-2.584882747,-2.438223072,-2.952232604
KBLFLMTZLPQGIF-UHFFFAOYSA-N,-1.08056332,-1.096414567,-0.646399335,-0.945629957,-0.81061894,-0.986046778,-0.852208626,-0.78105357
KMIDAEMDWKIDAL-UHFFFAOYSA-N,-1.210804437,-1.184571212,-0.525580107,-1.113892159,-1.261410934,-1.200596342,-1.236347736,-1.188155958
KOLSSZDJOTWLQW-UHFFFAOYSA-N,-0.526973205,-0.570262288,-0.92157985,-0.230399527,-0.574483031,-0.420420504,-0.53251264,-0.108895297
KXGNFVJBSLJUTL-DGCLKSJQSA-N,-1.261935261,-1.281759227,-0.788412076,-1.183122807,-1.091451474,-1.175960514,-1.264287855,-1.228495461
KZNICNPSHKQLFF-UHFFFAOYSA-N,-1.307695611,-1.299368723,-1.469293631,-2.180161209,-1.366001246,-1.43786041,-1.371212793,-1.807840512
LAWHHRXCBUNWFI-UHFFFAOYSA-N,-1.141986219,-1.163013468,-1.938386927,-1.994182985,-1.206899916,-1.541015739,-1.150838139,-1.844612305
LDVLVMRFNCMVLS-UHFFFAOYSA-N,-1.257659092,-1.230123346,-2.233857105,-1.863566072,-1.964018325,-2.27277483,-1.841201939,-1.616793979
