StdInChIKey,SMILES,Train_test,LogS,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,HF_E0_gas,HF_E0_solv,HF_DeltaE0_sol,HF_G_gas,HF_G_solv,HF_DeltaG_sol,gas_dip,solv_dip,HOMO,LUMO,LsoluHsolv,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,Area1,Area2,Area3,Asp1,Asp2,Asp3,No_regions,Tot_charge,Neg_charge,Pos_charge,Big_area,Big_charge,Big_std,Complexity
ABLACSIRCKEUOB-UHFFFAOYSA-N,Cc1cc(O)c2C(=O)c3c(O)cc(O)c4C(=O)C(C)(C)c5cc(O)c1c2c5c34,Test,-3.332075128,376.365,330.0,253.697,-1299.455146,-1299.4615720000002,-0.00642638,-1299.1676730000001,-1299.174115,-0.006442,-1275.358804,-1275.380739,-0.02193491,-1275.015685,-1275.0374570000001,-0.021772,7.6898,9.2373,-0.22734000000000001,-0.1025,0.07782,0.06842999999999999,533.0968628,-4.15364,-0.9890200000000001,-0.71924,0.59892,-4.15364,44,24551.5,28210.0,53922.5,0.524413792,0.625198025,0.9633026570000001,11,65.31560899,-152.85798219999998,218.1735912,3157,0.048190593,0.025238536000000002,1824.9543444803387
ABTUPTPDCSVHOI-UHFFFAOYSA-N,O=C1CCCCCCCCCCCCCCCCCN1,Train,0.171100776,281.482,101.5,267.676,-837.0361108,-837.0412076,-0.005096804,-836.575896,-836.5810759999999,-0.00518,-821.3884164,-821.4077139999999,-0.019297559,-820.8256690000001,-820.8429309999999,-0.017262,4.4352,5.0901,-0.24961999999999998,-0.0027,0.17762,0.09071,566.0393066,-0.68286,-7.0856699999999995,-0.68286,0.69076,-1.3449799999999998,55,25825.5,31896.5,54530.5,0.42294636,0.53526971,0.775146489,2,-1.011807489,-123.2143189,122.2025114,4328,0.028235331000000002,0.008015155,1499.7515509545447
ACGUYXCXAPNIKK-UHFFFAOYSA-N,Oc1c(Cl)cc(Cl)c(Cl)c1Cc2c(O)c(Cl)cc(Cl)c2Cl,Test,-0.885219291,406.907,162.0,193.55900000000003,-3410.6303439999997,-3410.6338969999997,-0.00355284,-3410.520744,-3410.524454,-0.00371,-3364.90093,-3364.92109,-0.02015969,-3364.7638369999995,-3364.783945,-0.020108,1.6286,1.9344,-0.24566,-0.05417999999999999,0.12614,0.08675,517.3945923,-1.39794,-0.93758,-0.69897,0.52451,-1.24264,27,28030.5,38403.5,43427.0,0.574772419,0.658184178,0.805528467,10,103.16360870000001,-17.96991661,121.1335253,1112,0.038329332,0.01810803,865.4768555338632
ADGVSBKVUXRJQH-UHFFFAOYSA-N,O(C1(c2ccccc2)c3ccccc3c4ccccc14)C5(c6ccccc6)c7ccccc7c8ccccc58,Train,-0.5681824289999999,498.624,239.0,368.181,-1538.9782289999998,-1538.982566,-0.00433716,-1538.5185210000002,-1538.523043,-0.004522,-1510.347447,-1510.375107,-0.02766021,-1509.801536,-1509.8287480000001,-0.027212,1.4903,1.6959,-0.21818,-0.04935,0.13097,0.05927,724.4598999,-0.59506,-5.87558,-0.59506,0.26142,-0.59506,65,48783.0,48982.5,53243.0,0.846666667,0.8606442120000001,0.984555985,13,-102.003156,-156.0517053,54.04854924,1455,-0.025654432,0.0031439209999999996,2855.8998501772785
AEDIXYWIVPYNBI-UHFFFAOYSA-N,CCCCCCC(N)=O,Train,-1.3426903280000002,129.202,97.0,111.728,-405.8001339,-405.8052283,-0.005094443,-405.621683,-405.62604,-0.004357,-398.17519300000004,-398.18419589999996,-0.009002982,-397.954535,-397.96356299999997,-0.009028,3.8015,4.3899,-0.25999,-0.00926,0.17106,0.10107999999999999,367.3771667,-0.66254,-2.41762,-0.8760399999999999,0.68018,-1.5385799999999998,24,19101.0,20918.0,28070.5,0.408730159,0.468429201,0.481308409,2,6.097777607,-104.1534705,110.2512481,2709,0.040698135,0.016626412,490.54126029412043
AFFZWQZWWRKJSU-UHFFFAOYSA-N,CC1(C)C4CCC1/C(=C/Nc3ccc2ccccc2c3)C4=O,Train,-1.750473715,305.42,185.5,253.549,-904.7882553999999,-904.792497,-0.0042416120000000005,-904.470727,-904.475785,-0.005058,-887.9318,-887.9498586000001,-0.018058586,-887.54891,-887.566886,-0.017976,2.5491,3.0135,-0.20092000000000002,-0.06437999999999999,0.11594000000000002,0.042010000000000006,549.8442993,-0.6393800000000001,-4.1542699999999995,-0.6764600000000001,0.5472,-1.22553,43,21748.5,36957.5,48703.5,0.465825345,0.504155125,0.9805097190000001,10,0.9733185520000001,-94.01780336,94.99112191,1927,0.029331264,0.007112043,1639.3993995197259
AFPHTEQTJZKQAQ-UHFFFAOYSA-N,OC(=O)c1cccc(c1)[N+]([O-])=O,Test,-0.969402295,167.12099999999998,141.0,127.273,-625.349432,-625.3552887999999,-0.005856752,-625.267929,-625.273946,-0.006017,-613.6794206000001,-613.6902262,-0.010805651000000001,-613.580686,-613.591397,-0.010711,5.6292,6.4317,-0.30205,-0.11538,0.06494,0.14314000000000002,327.0773621,-2.10114,-0.04883,-0.72008,0.80794,-1.60249,17,13370.5,17845.0,29442.0,0.369747882,0.48351648399999997,0.9823322859999999,5,33.98608351,-142.4979269,176.48401040000002,4383,0.038690452,0.016411705,517.7208972128352
AGUIVNYEYSCPNI-UHFFFAOYSA-N,CN(c1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,Train,-0.810589193,287.145,129.0,193.40200000000002,-1144.905108,-1144.913311,-0.00820297,-1144.798269,-1144.8066919999999,-0.008423,-1123.53148,-1123.546012,-0.01453188,-1123.39945,-1123.413538,-0.014088,3.8769,4.5521,-0.31795999999999996,-0.16125,0.01907,0.15905,423.1567993,-2.9236299999999997,-0.34661,-0.48158999999999996,0.6241800000000001,-1.08525,25,23353.5,25248.5,36521.0,0.644406565,0.712574855,0.8648167859999999,5,237.54965869999998,-110.71966880000001,348.2693275,7718,0.045124297,0.014092101999999999,768.4292930579779
ALBYIUDWACNRRB-UHFFFAOYSA-N,CCCCCC(N)=O,Train,-1.0581562740000001,115.175,100.0,119.575,-366.4854242,-366.49050800000003,-0.005083868,-366.333416,-366.337716,-0.0043,-359.5953672,-359.60331560000003,-0.007948341,-359.406879,-359.414833,-0.007954000000000001,3.7302,4.3103,-0.26008000000000003,-0.00915,0.17117000000000002,0.10117000000000001,335.2944336,-0.66255,-1.9573599999999998,-0.87603,0.68019,-1.5385799999999998,21,16536.5,19586.0,25287.0,0.449781659,0.512232404,0.5282051329999999,2,4.712223956,-104.39859820000001,109.1108221,2674,0.040804346,0.016669536999999998,409.3747726051212
ALYNCZNDIQEVRV-UHFFFAOYSA-N,Nc1ccc(cc1)C(O)=O,Train,-2.34814254,137.138,187.0,110.295,-476.2024602,-476.20906669999994,-0.006606506,-476.104594,-476.110643,-0.0060490000000000006,-467.2971063,-467.3089669,-0.011860603999999999,-467.181796,-467.19424699999996,-0.012451,4.6383,4.9239,-0.2213,-0.044000000000000004,0.13632,0.06239,310.138855,-1.37798,-0.16557,-0.84473,0.80016,-2.2227099999999997,17,11304.5,17121.0,27500.0,0.38157894700000006,0.550632921,0.684471658,6,49.37447077,-106.9392568,156.3137276,2997,0.043480661,0.017328026,446.77539351870337
