X,Y,Z,ESP,ESP2,ESP3
-13.3919628,-2.7198096,-1.7190390,0.0130102652,0.3540273207,8.1640715389
-13.4014857,-2.7242823,-1.4726956,0.0132566352,0.3607313883,8.3186711544
-13.3862476,-2.7180114,-1.1620540,0.0134517429,0.3660405392,8.4411031960
-13.3877880,-2.4688277,-2.2133328,0.0132145566,0.3595863717,8.2922664202
-13.4330023,-2.4824874,-1.9960468,0.0136567158,0.3716181364,8.5697257612
-13.4667316,-2.4836689,-1.7608378,0.0140716404,0.3829088080,8.8300950756
-13.4802493,-2.4861252,-1.5209200,0.0143639487,0.3908629222,9.0135214763
-13.4736760,-2.4844186,-1.2687016,0.0145571020,0.3961188898,9.1347270810
-13.4433162,-2.4780205,-1.0003933,0.0146326740,0.3981753090,9.1821492799
-13.3811893,-2.4549535,-0.6973070,0.0146182173,0.3977819206,9.1730775185
-13.4408835,-2.2292577,-2.2428415,0.0141493003,0.3850220400,8.8788274087
-13.4900343,-2.2399385,-2.0228782,0.0146537664,0.3987492609,9.1953849361
-13.5050336,-2.3398380,-1.7679709,0.0147083090,0.4002334425,9.2296110088
-13.5534540,-2.1604477,-1.6614889,0.0156287804,0.4252807428,9.8072160126
-13.5158371,-2.3506415,-1.5932672,0.0148939662,0.4052854304,9.3461127270
-13.5165790,-2.3513834,-1.4005805,0.0150889185,0.4105903515,9.4684472272
-13.5581833,-2.1637161,-1.4130335,0.0158960820,0.4325543875,9.9749503995
-13.5075869,-2.3423913,-1.2084039,0.0152353448,0.4145748140,9.5603311991
-13.5421840,-2.1521820,-1.1512626,0.0160987192,0.4380684281,10.1021073134
-13.4942905,-2.2688612,-0.9868301,0.0156097466,0.4247628058,9.7952720908
-13.4536388,-2.2304483,-0.7590062,0.0157021176,0.4272763489,9.8532358252
-13.4080991,-1.9727380,-2.4806209,0.0143887399,0.3915375237,9.0290781721
-13.4766687,-1.9883637,-2.2630723,0.0150232564,0.4088035956,9.4272436179
-13.5064834,-2.0912877,-2.0839134,0.0151030881,0.4109759273,9.4773388249
-13.5296411,-2.1411629,-1.9087963,0.0152957358,0.4162181385,9.5982271976
-13.5613187,-1.9151695,-1.9173596,0.0161381667,0.4391418475,10.1268609771
-13.5260755,-1.9155055,-2.1035056,0.0157110370,0.4275190566,9.8588328015
-13.5864227,-1.9333759,-1.6814096,0.0164882550,0.4486682363,10.3465449258
-13.5928419,-1.9379713,-1.4345880,0.0167776861,0.4565440548,10.5281657839
-13.5781526,-1.9271731,-1.1742956,0.0169974849,0.4625250839,10.6660917195
-13.5220769,-2.1068813,-0.9584039,0.0162973787,0.4434742271,10.2267681174
-13.5369751,-1.8967739,-0.8953982,0.0171511780,0.4667072873,10.7625357099
-13.4848881,-2.0178085,-0.7376579,0.0166103064,0.4519894222,10.4231333628
-13.3952791,-1.9499071,-0.4360751,0.0166164094,0.4521554929,10.4269630482
-13.4251346,-1.7250501,-2.4906980,0.0151662508,0.4126946703,9.5169740163
-13.4945963,-1.8294007,-2.2586937,0.0155903231,0.4242342643,9.7830836215
-13.5006452,-1.7157782,-2.2608619,0.0159492662,0.4340016047,10.0083240507
-13.5758501,-1.6749852,-1.9259845,0.0169315807,0.4607317395,10.6247361768
-13.5388852,-1.6701648,-2.1163153,0.0164960999,0.4488817051,10.3514676363
-13.6027230,-1.6948330,-1.6912714,0.0173085951,0.4709908231,10.8613164842
-13.6104992,-1.7005474,-1.4455691,0.0176132197,0.4792800825,11.0524715234
-13.5958145,-1.6895128,-1.1856195,0.0178527548,0.4857981631,11.2027821733
-13.5532561,-1.6573561,-0.9059571,0.0180189264,0.4903199216,11.3070564965
-13.5012046,-1.7742747,-0.7084039,0.0175373602,0.4772158396,11.0048689066
-13.4364951,-1.7283522,-0.4985676,0.0175318992,0.4770672384,11.0014420783
-13.3809738,-1.6623616,-0.3534535,0.0176003557,0.4789300336,11.0443991959
-13.4243471,-1.4754881,-2.4896710,0.0158645462,0.4316962568,9.9551614167
-13.5023492,-1.5871536,-2.2615361,0.0163326144,0.4444330392,10.2488788697
-13.4993003,-1.4657782,-2.2602386,0.0166662586,0.4535119596,10.4582439416
-13.5712820,-1.4206778,-1.9232517,0.0176739234,0.4809319142,11.0905637022
-13.5343297,-1.4161435,-2.1117597,0.0172241218,0.4686921879,10.8083086481
-13.5998714,-1.4422241,-1.6894760,0.0180713876,0.4917474627,11.3399764090
-13.6080161,-1.4483134,-1.4439426,0.0183938834,0.5005230204,11.5423457635
-13.5919592,-1.4359473,-1.1829140,0.0186472617,0.5074177950,11.7013431900
-13.5446441,-1.3991488,-0.8994223,0.0188289939,0.5123629807,11.8153819879
-13.5062577,-1.5910620,-0.7084039,0.0181685902,0.4943924810,11.4009720358
-13.5027317,-1.4657782,-0.7084039,0.0185645078,0.5051659480,11.6494143178
