X,Y,Z,ESP,ESP2,ESP3
-9.5965664,-1.1025182,0.0957389,-0.0294598164,-0.8016423707,-18.4863293892
-9.6005172,-1.1045438,0.3422949,-0.0298105231,-0.8111855855,-18.7064013549
-9.5840816,-1.0965563,0.6435933,-0.0300568792,-0.8178892763,-18.8609922787
-9.5969712,-0.8533196,-0.4060476,-0.0287284909,-0.7817419921,-18.0274153303
-9.6346488,-0.8564716,-0.1758193,-0.0293464527,-0.7985575877,-18.4151925357
-9.6565791,-0.8610090,0.0598663,-0.0298329829,-0.8117967470,-18.7204950870
-9.6631935,-0.8622378,0.3045021,-0.0301968001,-0.8216967164,-18.9487940163
-9.6528416,-0.8597509,0.5598247,-0.0304270467,-0.8279620457,-19.0932760747
-9.6226065,-0.8532485,0.8286656,-0.0305070166,-0.8301381376,-19.1434579929
-9.5883198,-0.6000793,-0.6488203,-0.0282621404,-0.7690519498,-17.7347757312
-9.6396949,-0.6082309,-0.4278731,-0.0289886950,-0.7888225050,-18.1906959875
-9.6767960,-0.6165260,-0.2009480,-0.0295959382,-0.8053464324,-18.5717471604
-9.7000159,-0.6215327,0.0333593,-0.0300859147,-0.8186793708,-18.8792123089
-9.6942703,-0.7086844,0.2999020,-0.0303876065,-0.8268888236,-19.0685269642
-9.7210934,-0.5154410,0.4256682,-0.0307039705,-0.8354975242,-19.2670484996
-9.6920482,-0.6471974,0.5798783,-0.0307007937,-0.8354110806,-19.2650550603
-9.6726349,-0.6145243,0.7955589,-0.0307961792,-0.8380066509,-19.3249103891
-9.6216922,-0.6033146,1.0785320,-0.0307248655,-0.8360661063,-19.2801603273
-9.6126472,-0.3535355,-0.6724361,-0.0283940132,-0.7726403896,-17.8175271943
-9.6670416,-0.3653226,-0.4437467,-0.0291427482,-0.7930145071,-18.2873659431
-9.6984528,-0.4628670,-0.1987718,-0.0297330094,-0.8090763312,-18.6577607493
-9.7135362,-0.2579943,-0.2226033,-0.0297967137,-0.8108098128,-18.6977358214
-9.7158503,-0.4802644,-0.0286528,-0.0300761772,-0.8184144010,-18.8731019541
-9.7220664,-0.5157179,0.1621032,-0.0303885179,-0.8269136242,-19.0690988794
-9.7456177,-0.2824304,0.1590200,-0.0305157304,-0.8303752522,-19.1489259902
-9.7319388,-0.2970085,-0.0447413,-0.0301588114,-0.8206629931,-18.9249557673
-9.7452574,-0.2820209,0.4105914,-0.0308197644,-0.8386484365,-19.3397103298
-9.7144237,-0.4788379,0.6071190,-0.0308454037,-0.8393461178,-19.3557992576
-9.7267338,-0.2681313,0.6740113,-0.0309977517,-0.8434917180,-19.4513991586
-9.6938803,-0.4582944,0.7963182,-0.0309225171,-0.8414444813,-19.4041887148
-9.6966931,-0.3444926,0.8571190,-0.0309803002,-0.8430168397,-19.4404481954
-9.6569750,-0.3616734,1.0545541,-0.0309223066,-0.8414387541,-19.4040566434
-9.6285205,-0.1067171,-0.6704507,-0.0284947691,-0.7753820982,-17.8807525554
-9.6805198,-0.1195770,-0.4512867,-0.0292212414,-0.7951504160,-18.3366212185
-9.7386177,-0.0263863,-0.0879416,-0.0301383108,-0.8201051423,-18.9120914114
-9.7142310,-0.0367995,-0.2770335,-0.0297044824,-0.8083000716,-18.6398597609
-9.7552878,-0.0386753,0.1531929,-0.0305603956,-0.8315906524,-19.1769538128
-9.7553013,-0.0385303,0.4043955,-0.0308660592,-0.8399081824,-19.3687607885
-9.7363699,-0.0241100,0.6680601,-0.0310437365,-0.8447430273,-19.4802550648
-9.7053725,-0.2197866,0.8571190,-0.0310337476,-0.8444712156,-19.4739869307
-9.7110153,-0.0352244,0.8571190,-0.0310711255,-0.8454883211,-19.4974419631
-9.6743694,-0.1166766,1.0429072,-0.0310156655,-0.8439791787,-19.4626402805
-9.5881522,-0.0858994,1.3717875,-0.0307302379,-0.8362122990,-19.2835316129
-9.6275138,0.1430087,-0.6697394,-0.0284898471,-0.7752481630,-17.8776639349
-9.6802804,0.1293940,-0.4509023,-0.0292205899,-0.7951326858,-18.3362123500
-9.7323670,0.2294048,-0.0840463,-0.0301105030,-0.8193484543,-18.8946417545
-9.7089922,0.2175846,-0.2717947,-0.0296861510,-0.8078012471,-18.6283565839
-9.7496718,0.2164725,0.1567837,-0.0305354305,-0.8309113180,-19.1612879742
-9.7494064,0.2168814,0.4083415,-0.0308399826,-0.8391986035,-19.3523974939
-9.7289937,0.2327554,0.6731992,-0.0310105770,-0.8438407132,-19.4594471858
-9.7085142,0.1555074,0.8571190,-0.0310491016,-0.8448890191,-19.4836217168
-9.6737355,0.1322400,1.0434391,-0.0310130077,-0.8439068545,-19.4609724430
-9.5870169,0.1610947,1.3678722,-0.0307197974,-0.8359281966,-19.2769800502
-9.6099296,0.3986297,-0.6665119,-0.0283841269,-0.7723713714,-17.8113234817
-9.6656411,0.3821390,-0.4422851,-0.0291381632,-0.7928897427,-18.2844888053
-9.7044897,0.4055074,-0.2011485,-0.0297663390,-0.8099832737,-18.6786753583
