X,Y,Z,ESP,ESP2,ESP3
-10.9999497,-2.4131022,0.9332637,-0.0550897782,-1.4990690992,-34.5693867440
-11.0238983,-2.4239974,1.1691776,-0.0564511558,-1.5361140672,-35.4236647930
-11.0357254,-2.4252149,1.4140679,-0.0576228389,-1.5679971861,-36.1589076651
-11.0315920,-2.4231493,1.6658802,-0.0586012178,-1.5946202285,-36.7728501760
-11.0098830,-2.4180536,1.9264422,-0.0594104231,-1.6166398254,-37.2806346152
-11.0199015,-2.1658759,0.6630136,-0.0539477324,-1.4679924520,-33.8527415709
-11.0643582,-2.1748177,0.8975615,-0.0554185527,-1.5080155060,-34.7756959784
-11.0929868,-2.1806570,1.1290017,-0.0566359640,-1.5411429535,-35.5396337753
-11.1075338,-2.1833836,1.3684326,-0.0576846859,-1.5696801284,-36.1977172723
-11.1071619,-2.1828630,1.6168225,-0.0585721101,-1.5938281692,-36.7545848377
-11.0900842,-2.1789672,1.8760955,-0.0593131300,-1.6139923442,-37.2195821925
-11.0532204,-2.1712555,2.1491434,-0.0599268551,-1.6306926532,-37.6047008250
-10.9901275,-2.1601394,2.4463133,-0.0604296177,-1.6443735198,-37.9201893967
-11.0099071,-1.9138400,0.4242175,-0.0528536259,-1.4382203006,-33.1661788111
-11.0683249,-1.9266844,0.6465068,-0.0543352277,-1.4785367358,-34.0958987579
-11.0997694,-2.0197562,0.8908410,-0.0556148595,-1.5133572863,-34.8988804717
-11.1201651,-2.0401518,1.0612483,-0.0564424093,-1.5358760617,-35.4181762504
-11.1338910,-2.0538778,1.2438109,-0.0572424526,-1.5576463484,-35.9202114555
-11.1715069,-1.8604051,1.2334181,-0.0572375943,-1.5575141450,-35.9171627697
-11.1440343,-1.8763319,1.0033960,-0.0562917958,-1.5317776610,-35.3236647994
-11.1406660,-2.0606527,1.4918227,-0.0581660232,-1.5827779811,-36.4997612120
-11.1804401,-1.8668684,1.4787732,-0.0580788801,-1.5804066977,-36.4450780654
-11.1336666,-2.0536533,1.7468206,-0.0589362274,-1.6037363025,-36.9830720319
-11.1742014,-1.8623309,1.7335735,-0.0587974978,-1.5999612782,-36.8960178231
-11.1188530,-2.0388397,1.9429026,-0.0594122929,-1.6166907047,-37.2818079214
-11.1514345,-1.8460464,1.9993114,-0.0593858467,-1.6159710679,-37.2652126866
-11.1022898,-1.9620191,2.1641217,-0.0598220777,-1.6278415167,-37.5389519932
-11.0630915,-1.9236031,2.3913592,-0.0601382235,-1.6364442814,-37.7373366448
-11.0408144,-1.6711206,0.4133293,-0.0531855709,-1.4472529824,-33.3744775948
-11.0994436,-1.6848416,0.6288496,-0.0544840290,-1.4825858232,-34.1892730177
-11.1252465,-1.7952333,0.8061668,-0.0553553371,-1.5062953232,-34.7360275836
-11.1766828,-1.6134839,0.9794181,-0.0561540404,-1.5280291449,-35.2372218845
-11.1431748,-1.6126148,0.7882386,-0.0553089813,-1.5050339184,-34.7069388700
