StdInChIKey,SMILES,LogS,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LsoluHsolv,LUMO,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms
ABLACSIRCKEUOB-UHFFFAOYSA-N,Cc1cc(O)c2C(=O)c3c(O)cc(O)c4C(=O)C(C)(C)c5cc(O)c1c2c5c34,-3.332075128,376.365,330,303.761,-0.375456512,-0.381807235,-0.006350723,-0.116582,-0.124117,-0.007535,8.9737,10.7504,-0.3406,0.12132,-0.059,0.18169,532.817688,-3.119888,-0.644465,-0.672405,0.683427,-3.119888,44
ABTUPTPDCSVHOI-UHFFFAOYSA-N,O=C1CCCCCCCCCCCCCCCCCN1,0.171100776,281.482,101.5,465.181,-0.192251859,-0.197583685,-0.005331826,0.225472,0.219715,-0.005757,4.5969,5.2664,-0.35776,0.22441,0.04409,0.19885,548.4764404,-0.611472,-3.820133,-0.611472,0.612628,-1.112712,55
ACGUYXCXAPNIKK-UHFFFAOYSA-N,Oc1c(Cl)cc(Cl)c(Cl)c1Cc2c(O)c(Cl)cc(Cl)c2Cl,-0.885219291,406.907,162,202.255,-0.147742587,-0.152102831,-0.004360243,-0.048362,-0.053091,-0.004729,1.1069,1.3708,-0.34049,0.14627,-0.03405,0.18158,499.6427917,-0.888609,-0.339803,-0.444305,0.346611,-1.100749,27
ADGVSBKVUXRJQH-UHFFFAOYSA-N,O(C1(c2ccccc2)c3ccccc3c4ccccc14)C5(c6ccccc6)c7ccccc7c8ccccc58,-0.568182429,498.624,239,527.6,0.211731975,0.208067372,-0.003664604,0.638878,0.636236,-0.002642,1.311,1.4708,-0.3211,0.16397,-0.01635,0.16219,711.5205078,-0.498043,-3.521121,-0.498043,0.339465,-0.498043,65
AEDIXYWIVPYNBI-UHFFFAOYSA-N,CCCCCCC(N)=O,-1.342690328,129.202,97,192.536,-0.12547825,-0.130797694,-0.005319444,0.032071,0.026049,-0.006022,4.2015,4.7617,-0.38284,0.22131,0.04099,0.22393,366.1693726,-0.596336,-1.246761,-0.596336,0.624199,-1.187556,24
AFFZWQZWWRKJSU-UHFFFAOYSA-N,CC1(C)C4CCC1/C(=C/Nc3ccc2ccccc2c3)C4=O,-1.750473715,305.42,185.5,282.333,0.007082432,0.002836671,-0.004245761,0.297007,0.292171,-0.004836,2.5922,3.0066,-0.30171,0.15699,-0.02333,0.1428,550.4165649,-0.570613,-2.427816,-0.570613,0.586116,-0.949954,43
AFPHTEQTJZKQAQ-UHFFFAOYSA-N,OC(=O)c1cccc(c1)[N+]([O-])=O,-0.969402295,167.121,141,115.185,-0.107577404,-0.113394876,-0.005817472,-0.035837,-0.042037,-0.0062,3.1483,3.5065,-0.40864,0.11433,-0.06599,0.24973,327.8266602,-2.002592,0.061901,-0.524069,0.848941,-1.153651,17
AGUIVNYEYSCPNI-UHFFFAOYSA-N,CN(c1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,-0.810589193,287.145,129,140.626,0.049093372,0.040676592,-0.008416779,0.147555,0.137752,-0.009803,3.238,3.6981,-0.4238,0.07039,-0.10993,0.26489,426.8916626,-3.513038,-0.558572,-0.468196,0.950766,-0.418168,25
ALBYIUDWACNRRB-UHFFFAOYSA-N,CCCCCC(N)=O,-1.058156274,115.175,100,177.142,-0.117548593,-0.122804516,-0.005255922,0.01616,0.010615,-0.005545,4.1957,4.7627,-0.38282,0.22137,0.04105,0.22391,334.8655396,-0.596599,-0.982084,-0.596599,0.624091,-1.187457,21
ALYNCZNDIQEVRV-UHFFFAOYSA-N,Nc1ccc(cc1)C(O)=O,-2.34814254,137.138,187,146.958,-0.111401095,-0.1170063,-0.005605205,-0.025586,-0.031988,-0.006402,4.9603,5.8376,-0.33034,0.16434,-0.01598,0.17143,311.5545349,-1.121254,0.070023,-0.570646,0.686994,-1.619436,17
ANXTWUZEYYACQX-UHFFFAOYSA-N,Cc1ccc(cc1)N(c2cccc(C)c2)c3cccc(C)c3,0.436610032,287.404,89.5,322.44,0.080247979,0.077373003,-0.002874976,0.366877,0.363359,-0.003518,1.1403,0.1551,-0.28727,0.18804,0.00772,0.12836,575.2722168,0,-3.13819,-0.524426,0.302768,-0.379183,43
AOZXETLGPZAZNK-UHFFFAOYSA-N,CCOc1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,0.224355743,257.159,78.5,150.043,-0.035351489,-0.042885439,-0.00753395,0.07536,0.066714,-0.008646,3.0532,3.335,-0.42579,0.08763,-0.09269,0.26688,420.712677,-3.188223,-0.694551,-0.508025,0.888049,-0.543589,25
APXIOBIHMSMFLO-UHFFFAOYSA-N,COc1cccc(C=NNc2ccc(cc2[N+]([O-])=O)[N+]([O-])=O)c1,-2.988178757,316.273,215,222.305,0.042954874,0.034618258,-0.008336616,0.230753,0.221753,-0.009,8.9743,10.0865,-0.34764,0.11398,-0.06634,0.18873,542.0967407,-2.362958,-1.258638,-0.53859,0.888597,-1.007461,35
APZGKGHAXUURNO-UHFFFAOYSA-N,CC12SC3(C)SC(C)(S1)SC(C)(S2)S3,0.117757985,300.579,232,209.141,0.035627363,0.023044478,-0.012582884,0.163516,0.150309,-0.013207,6.1726,0.8703,-0.32644,0.16391,-0.01641,0.16753,417.1739502,0,-1.742958,-0.507996,0.194736,-0.590463,26
AQKGLAJGQUIHSJ-ZDEMKHDWSA-N,[C@@H]45C3=NC1=C([C@H]2CC[C@@H]1C2(C)C)N=C3[C@@H](CC4)C5(C)C,-0.39912237,296.456,205.5,320.741,0.053690667,0.049159073,-0.004531594,0.367504,0.362539,-0.004965,0,0,-0.33133,0.17598,-0.00434,0.17242,496.1069946,0,-3.113724,-0.533774,0.198707,-0.567222,44
ARQPAZGNIULDOE-AFYYWNPRSA-N,C[C@@H]3CCCC(NC(=O)c1cccc2ccccc12)C3,-0.405925001,267.371,134,305.231,-0.048856293,-0.054045967,-0.005189674,0.231067,0.225395,-0.005672,4.1288,4.7678,-0.33533,0.15334,-0.02698,0.17642,529.4152222,-0.579892,-2.117693,-0.579892,0.608067,-1.111043,41
ASKWNDPFGDMSCK-UHFFFAOYSA-N,Cc1ccccc1N=Nc2ccc(O)cc2,-0.044894198,212.251,104,230.158,0.059944182,0.054832994,-0.005111188,0.222922,0.218063,-0.004859,3.8987,4.44,-0.33043,0.15611,-0.02421,0.17152,431.3420105,-0.472239,-1.582448,-0.503712,0.361649,-0.60011,28
AUHHYELHRWCWEZ-UHFFFAOYSA-N,Clc1c(Cl)c(Cl)c2C(=O)OC(=O)c2c1Cl,-0.91164702,285.898,253,85.23,-0.152113281,-0.156623927,-0.004510646,-0.130238,-0.134993,-0.004755,4.6057,5.2998,-0.38515,0.08878,-0.09154,0.22624,374.9907532,-1.225509,1.076366,-0.484998,0.655607,-1.076367,15
