StdInChIKey,SMILES,LogS,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LsoluHsolv,LUMO,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms
ABLACSIRCKEUOB-UHFFFAOYSA-N,Cc1cc(O)c2C(=O)c3c(O)cc(O)c4C(=O)C(C)(C)c5cc(O)c1c2c5c34,-3.332075128,376.365,330,316.4151605,-0.375401164,-0.381733185,-0.006332021,-0.116533622,-0.124054987,-0.007521365,8.969735959,10.74261299,-0.340583174,0.121281777,-0.059038223,0.181673174,532.8421276,-3.1200843,-0.644515242,-0.672400052,0.683406161,-3.1200843,44
ABTUPTPDCSVHOI-UHFFFAOYSA-N,O=C1CCCCCCCCCCCCCCCCCN1,0.171100776,281.482,101.5,435.054607,-0.19139681,-0.196678308,-0.005281498,0.224846143,0.219479505,-0.005366638,4.61699367,5.310792498,-0.35641464,0.226532007,0.046212007,0.19750464,552.3347894,-0.613153053,-3.814290036,-0.613153053,0.614256633,-1.120313685,55
ACGUYXCXAPNIKK-UHFFFAOYSA-N,Oc1c(Cl)cc(Cl)c(Cl)c1Cc2c(O)c(Cl)cc(Cl)c2Cl,-0.885219291,406.907,162,210.6646965,-0.14746457,-0.151859037,-0.004394467,-0.048036371,-0.052749253,-0.004712882,1.118668877,1.59729282,-0.340488207,0.145988179,-0.034331821,0.181578207,499.9563013,-0.887488287,-0.339782686,-0.444049592,0.346788628,-1.097261753,27
ADGVSBKVUXRJQH-UHFFFAOYSA-N,O(C1(c2ccccc2)c3ccccc3c4ccccc14)C5(c6ccccc6)c7ccccc7c8ccccc58,-0.568182429,498.624,239,534.5635701,0.211751665,0.20809389,-0.003657775,0.638918554,0.636280111,-0.002638443,1.308645102,1.466664359,-0.321119214,0.163948826,-0.016371174,0.162209214,711.6761257,-0.49798299,-3.521127133,-0.49798299,0.339395821,-0.49798299,65
AEDIXYWIVPYNBI-UHFFFAOYSA-N,CCCCCCC(N)=O,-1.342690328,129.202,97,199.2614028,-0.124561414,-0.129774354,-0.00521294,0.032508962,0.027382655,-0.005126307,4.094311371,4.675712682,-0.382180067,0.222693287,0.042373287,0.223270067,359.1982243,-0.595695532,-1.236317638,-0.599775681,0.62560832,-1.191472536,24
AFFZWQZWWRKJSU-UHFFFAOYSA-N,CC1(C)C4CCC1/C(=C/Nc3ccc2ccccc2c3)C4=O,-1.750473715,305.42,185.5,341.3914168,0.007415582,0.003152536,-0.004263046,0.297319782,0.292461407,-0.004858375,2.98215699,3.467030671,-0.301108708,0.157105845,-0.023214155,0.142198708,550.4363593,-0.56974009,-2.428040476,-0.56974009,0.585878496,-0.948950519,43
AFPHTEQTJZKQAQ-UHFFFAOYSA-N,OC(=O)c1cccc(c1)[N+]([O-])=O,-0.969402295,167.121,141,125.9521596,-0.107446491,-0.113281105,-0.005834614,-0.035722867,-0.041957144,-0.006234277,3.931240327,4.482087208,-0.408718131,0.114452906,-0.065867094,0.249808131,328.0510543,-2.001533317,0.061394145,-0.525262308,0.848670324,-1.152862993,17
AGUIVNYEYSCPNI-UHFFFAOYSA-N,CN(c1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,-0.810589193,287.145,129,142.1298352,0.049535991,0.040676626,-0.008859365,0.147841586,0.13774635,-0.010095236,3.224437873,3.698624989,-0.422045722,0.070647509,-0.109672491,0.263135722,426.8716375,-3.513105449,-0.558479652,-0.468208249,0.9507957,-0.418254749,25
ALBYIUDWACNRRB-UHFFFAOYSA-N,CCCCCC(N)=O,-1.058156274,115.175,100,175.4331624,-0.117012014,-0.122197522,-0.005185508,0.01629938,0.011132237,-0.005167142,4.053436705,4.658256832,-0.382046273,0.222547185,0.042227185,0.223136273,329.4920034,-0.596875048,-0.975030521,-0.598800167,0.627512696,-1.190579494,21
ALYNCZNDIQEVRV-UHFFFAOYSA-N,Nc1ccc(cc1)C(O)=O,-2.34814254,137.138,187,137.6545018,-0.111400938,-0.117005348,-0.00560441,-0.025581708,-0.031987133,-0.006405425,4.96011335,5.837944555,-0.330352048,0.164330984,-0.015989016,0.171442048,311.5542399,-1.121247288,0.070019215,-0.570643375,0.686994746,-1.619430005,17
ANXTWUZEYYACQX-UHFFFAOYSA-N,Cc1ccc(cc1)N(c2cccc(C)c2)c3cccc(C)c3,0.436610032,287.404,89.5,359.8960467,0.080269351,0.077394019,-0.002875332,0.366892488,0.363095031,-0.003797456,1.079293229,1.209501435,-0.28727697,0.188035866,0.007715866,0.12836697,576.098333,0,-3.138058708,-0.524468527,0.302607226,-0.379213487,43
AOZXETLGPZAZNK-UHFFFAOYSA-N,CCOc1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,0.224355743,257.159,78.5,165.8194689,-0.035351484,-0.042885308,-0.007533824,0.07535955,0.064237079,-0.011122471,3.05314,3.335454956,-0.42578,0.0876395,-0.0926805,0.26687,420.7844287,-3.18813196,-0.694656088,-0.508076744,0.888186635,-0.543516358,25
APXIOBIHMSMFLO-UHFFFAOYSA-N,COc1cccc(C=NNc2ccc(cc2[N+]([O-])=O)[N+]([O-])=O)c1,-2.988178757,316.273,215,272.7748116,0.043058453,0.034731332,-0.008327121,0.230820397,0.221896,-0.008924397,8.920667613,10.07013601,-0.347405559,0.113940175,-0.066379825,0.188495559,542.0092275,-2.361472185,-1.259480155,-0.537968984,0.888555048,-1.006022624,35
APZGKGHAXUURNO-UHFFFAOYSA-N,CC12SC3(C)SC(C)(S1)SC(C)(S2)S3,0.117757985,300.579,232,225.057811,0.035627363,0.023352812,-0.012274552,0.163516,0.150502721,-0.013013279,2.874830049,0.91419716,-0.32644,0.16391,-0.01641,0.16753,416.9969667,0,-1.740661985,-0.50799304,0.194811069,-0.59175153,26
AQKGLAJGQUIHSJ-ZDEMKHDWSA-N,[C@@H]45C3=NC1=C([C@H]2CC[C@@H]1C2(C)C)N=C3[C@@H](CC4)C5(C)C,-0.39912237,296.456,205.5,330.679351,0.053690669,0.049159074,-0.004531594,0.367504,0.36253875,-0.00496525,3.00E-05,3.50E-05,-0.33133,0.17598,-0.00434,0.17242,496.1198822,0,-3.11372295,-0.533774,0.1987071,-0.56722185,44
