StdInChIKey,SMILES,LogS,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LsoluHsolv,LUMO,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms
AADVZSXPNRLYLV-XRXNUMIJSA-N,c1ccc2c(c1)c1CCN3C[C@@H]4CC[C@@H]([C@@H]([C@H]4C[C@H]3c1[nH]2)C(=O)O)O,-2.122892155,340.422,282,347.223,-0.187889641,-0.211906988,-0.024017347,0.148048,0.124114,-0.023934,2.7786,7.97,-0.30175,0.28022,0.00207,0.30196,557.326416,-1.716099,-1.919353,-0.582417,0.682547,-2.334059,49
ABFDTYJJUSUWRB-UHFFFAOYSA-N,CN(C)c1ccc(cc1)N=C=Nc1ccc(cc1)N(C)C,-1.772342835,280.373,88.75,347.792,0.149765142,0.1333686,-0.016396542,0.40773,0.392043,-0.015687,1.6106,7.0162,-0.28895,0.2728,-0.00535,0.28916,578.800354,0,-1.996049,-0.364092,0.330924,-1.269523,41
ACGUYXCXAPNIKK-UHFFFAOYSA-N,C(c1c(c(cc(c1O)Cl)Cl)Cl)c1c(c(cc(c1O)Cl)Cl)Cl,0.089474843,406.907,163.75,222.152,-0.147742588,-0.15846802,-0.010725432,-0.048363,-0.059239,-0.010876,1.1068,4.3445,-0.34049,0.2441,-0.03405,0.3407,499.7682495,-0.894159,-0.362834,-0.450208,0.357384,-1.094787,27
ACMLKANOGIVEPB-UHFFFAOYSA-N,c1ccc2c(c1)cc(C(=O)O)c(=O)o2,-2.823897322,190.155,189,158.51,-0.195456678,-0.210403255,-0.014946577,-0.102118,-0.116868,-0.01475,5.0059,10.3562,-0.36354,0.21182,-0.06633,0.36375,354.1087646,-2.00495,0.727473,-0.570077,0.743185,-2.00495,20
AECGEIVNZGQBJT-UHFFFAOYSA-N,c1ccc(cc1)C(c1ccccc1)(c1ccccc1)SCCC(=O)O,-2.110796646,348.466,204,386.348,-0.034891968,-0.048010473,-0.013118505,0.246509,0.232867,-0.013642,1.9885,2.9771,-0.32663,0.27021,-0.00794,0.32684,580.1653442,-1.110225,-2.214858,-0.575468,0.687938,-1.317572,45
AFHJQYHRLPMKHU-GIWDNFATSA-N,c1cc2C(c3cc(cc(c3C(=O)c2c(c1)O)O)CO)C1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O,-1.445595972,418.4,145,354.837,-0.580991584,-0.601899432,-0.020907848,-0.266018,-0.289598,-0.02358,3.3329,6.1323,-0.35502,0.22304,-0.05511,0.35523,580.3995361,-4.973454,-0.090854,-0.646087,0.667076,-4.973454,52
AFPHTEQTJZKQAQ-UHFFFAOYSA-N,c1cc(cc(c1)[N+](=O)[O-])C(=O)O,0.408412743,167.121,141,121.063,-0.107577401,-0.119967266,-0.012389865,-0.035838,-0.049305,-0.013467,3.1485,3.9173,-0.40863,0.21216,-0.06599,0.40884,327.5901184,-2.077882,0.108152,-0.555433,0.863176,-1.214706,17
AGPKZVBTJJNPAG-UHFFFAOYSA-N,CCC(C)C(C(=O)O)N,-2.493568977,131.175,274.5,173.936,-0.180533913,-0.19123829,-0.010704378,-0.043126,-0.056441,-0.013315,1.1393,4.0512,-0.36494,0.29179,0.01364,0.36515,324.9989624,-1.101784,-0.748038,-0.567239,0.645905,-1.637826,22
AGUIVNYEYSCPNI-UHFFFAOYSA-N,CN(c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],-1.83088487,287.145,129.09,154.462,0.049093372,0.029151972,-0.0199414,0.147555,0.124079,-0.023476,3.2381,4.5812,-0.42381,0.16822,-0.10993,0.42402,426.9674072,-3.673941,-0.477511,-0.485897,0.960476,-0.510523,25
AHAMSJOYQAFMCP-UHFFFAOYSA-N,C[n+]1ccc2cc(c(cc2c1Cc1ccc(c(c1)OC)OC)OC)[O-],-1.416756969,339.391,251,357.994,-0.132631134,-0.159558834,-0.0269277,0.154963,0.125984,-0.028979,9.2235,18.8392,-0.28595,0.25339,-0.02476,0.28616,593.7512817,-1.856108,-1.709408,-0.679932,0.545226,-1.928101,46
AIWAFUBJIYAIGI-UHFFFAOYSA-N,CCCC(=O)NCCNC(=O)CCC,-0.164919184,200.281,189.325,297.485,-0.2035538,-0.221290978,-0.017737178,0.021722,0.003178,-0.018544,5.4799,7.2019,-0.34836,0.30889,0.03074,0.34857,443.2045898,-1.336835,-1.157519,-0.675979,0.62788,-2.308958,34
ALUFYZNLZVVCAA-UHFFFAOYSA-N,C=C(C)C1CC(=O)C(C)C(=O)C1,-0.277683685,166.22,187.25,187.873,-0.136526228,-0.148753124,-0.012226896,0.0269,0.013625,-0.013275,3.6802,4.73,-0.37116,0.28513,0.00698,0.37137,372.4320068,-1.087343,-1.421959,-0.543684,0.607752,-1.087343,26
ANADDXJINIYFJZ-UHFFFAOYSA-N,c1cc(ccc1N)S(=O)(=O)NC(CO)(CO)CO,-1.482794438,276.313,160.5,282.259,-0.327790509,-0.353547615,-0.025757105,-0.130423,-0.15815,-0.027727,9.523,13.4678,-0.34905,0.25458,-0.02357,0.34926,454.4706726,-3.821775,-0.967329,-1.023525,2.595083,-2.56073,34
ANNNHXBSGYPBEY-UHFFFAOYSA-N,COc1ccc(c(c1)OC)N=Cc1ccc(cc1)c1ccccc1,-2.06048026,317.387,124,395.29,0.022093955,0.009607599,-0.012486356,0.291661,0.277826,-0.013835,0.9373,3.629,-0.3065,0.26413,-0.01402,0.30671,593.4794312,-0.778186,-2.019717,-0.500534,0.411056,-1.091599,43
AOZXETLGPZAZNK-UHFFFAOYSA-N,CCOc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],-1.290243154,257.159,78.5,159.675,-0.035351493,-0.0609109,-0.025559407,0.07536,0.049449,-0.025911,3.0534,5.2804,-0.42579,0.18547,-0.09268,0.426,414.6794128,-3.228667,-0.768796,-0.54181,0.907427,-0.528948,25
APZGKGHAXUURNO-UHFFFAOYSA-N,CC12SC3(C)SC(C)(S1)SC(C)(S2)S3,-0.711484813,300.579,232,274.482,0.035627363,0.006450877,-0.029176486,0.163516,0.132594,-0.030922,2.9238,0.2343,-0.32644,0.26174,-0.01641,0.32665,417.9734192,0,-1.782659,-0.518903,0.202431,-0.63833,26
ASWVTGNCAZCNNR-UHFFFAOYSA-N,Cc1cc(C)nc(n1)NS(=O)(=O)c1ccc(cc1)N,-3.681525248,278.335,196.75,313.807,-0.060771269,-0.088273416,-0.027502147,0.124881,0.095544,-0.029337,8.4328,12.5976,-0.33739,0.26769,-0.01046,0.3376,491.5396729,-1.970279,-1.161939,-0.995142,2.630768,-1.786419,33
AXTHVITXCLTTHB-UHFFFAOYSA-N,c1c(cc(c(c1Cl)OP(=O)(O)Oc1c(cc(cc1Cl)Cl)Cl)Cl)Cl,-0.634478221,456.861,222,231.95,-0.351838204,-0.366862955,-0.015024751,-0.2644,-0.279786,-0.015386,2.5163,3.4373,-0.35954,0.23525,-0.0429,0.35975,549.7987671,-2.623086,-0.263979,-0.799074,1.81891,-0.944419,28
AYFVYJQAPQTCCC-GBXIJSLDSA-N,C[C@H]([C@@H](C(=O)O)N)O,-2.230886645,119.12,229.5,138.809,-0.236136865,-0.247713012,-0.011576147,-0.146075,-0.15981,-0.013735,3.0637,3.899,-0.37263,0.27957,0.00142,0.37284,290.147522,-1.65671,0.102408,-0.580823,0.646954,-2.16916,17
AZQWKYJCGOJGHM-UHFFFAOYSA-N,C1=CC(=O)C=CC1=O,-0.528663663,108.097,114.375,104.269,-0.043631389,-0.052125024,-0.008493635,0.005496,-0.003621,-0.009117,0,0,-0.38929,0.20141,-0.07674,0.3895,265.457428,-0.969208,0.183776,-0.484604,0.538976,-0.969208,12
BAQAVOSOZGMPRM-QBMZZYIRSA-N,C([C@@H]1[C@H]([C@@H]([C@@](CCl)(O1)O[C@@H]1[C@@H]([C@H]([C@H]([C@@H](CO)O1)Cl)O)O)O)O)Cl,-0.610212632,397.637,116.875,294.757,-0.639031126,-0.660517906,-0.02148678,-0.403814,-0.42727,-0.023456,1.4004,1.897,-0.39261,0.27115,-0.007,0.39282,506.9926758,-4.301893,0.478311,-0.58408,0.467313,-4.715209,42
BBNYCLAREVXOSG-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(=O)OC(CO)CO,-3.855481051,330.508,68.5,507.998,-0.413498926,-0.427257819,-0.013758894,0.024102,0.010521,-0.013581,4.8361,6.1541,-0.38094,0.29039,0.01224,0.38115,684.6848145,-2.230158,-3.571459,-0.595361,0.684918,-2.230158,61
BBQDLDVSEDAYAA-AATRIKPKSA-N,c1ccc(c(c1)/C=C/C(=O)O)[N+](=O)[O-],-1.969944603,193.159,241.5,160.399,-0.086082459,-0.10093729,-0.014854831,0.012967,-0.002813,-0.01578,6.2426,8.536,-0.38999,0.21459,-0.06356,0.3902,378.8029785,-2.107845,-0.225556,-0.570765,0.856005,-1.25184,21
BBUVDDPUURMFOX-SAABIXHNSA-N,C[C@H]1CC[C@@H](CC1)n1c2cnccc2c2cnc(Nc3ccc4CN(CCc4n3)C(=O)CO)nc12,-2.673538801,471.562,214,492.038,0.000375422,-0.022905525,-0.023280947,0.424546,0.399595,-0.024951,3.7432,5.0118,-0.3231,0.23847,-0.03968,0.32331,764.2695313,-1.165482,-1.041962,-0.630241,0.543973,-4.026368,64
BDDYZHKLKHFEBJ-UHFFFAOYSA-N,c1ccc(cc1)C(=O)OCOC(=O)c1ccccc1,-1.113495321,256.258,99.25,285.934,-0.183014797,-0.194343037,-0.01132824,-0.009781,-0.022753,-0.012972,2.7423,3.1115,-0.37264,0.24982,-0.02833,0.37285,494.8774414,-2.081135,0.088081,-0.548884,0.672325,-2.081135,31
BDJRBEYXGGNYIS-UHFFFAOYSA-N,C(CCCC(=O)O)CCCC(=O)O,-0.032780167,188.224,106.175,218.074,-0.351725932,-0.363326736,-0.011600804,-0.167328,-0.187201,-0.019873,2.882,2.2134,-0.40116,0.29127,0.01312,0.40137,430.1144714,-2.243042,-0.689696,-0.579911,0.682144,-2.243042,29
BDZVJQHQHIFHSH-UHFFFAOYSA-N,COc1ccc(cc1)C(c1ccccc1)(C(c1ccccc1)(c1ccc(cc1)OC)O)O,-2.851780004,426.512,170.5,449.706,-0.106702567,-0.121675607,-0.01497304,0.266683,0.250496,-0.016187,1.7699,1.8734,-0.32145,0.28513,0.00698,0.32166,696.7404785,-1.98331,-2.617988,-0.592664,0.346527,-1.98331,58
