StdInChIKey,SMILES,LogS,Volume,MW,MP,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LsoluHsolv,LUMO,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms
AADVZSXPNRLYLV-XRXNUMIJSA-N,c1ccc2c(c1)c1CCN3C[C@@H]4CC[C@@H]([C@@H]([C@H]4C[C@H]3c1[nH]2)C(=O)O)O,-2.122892155,348.6525102,340.422,282,-0.187599158,-0.211756797,-0.024157639,0.148430106,0.12420203,-0.024228076,2.988553356,7.792407737,-0.301902967,0.280453555,0.002303555,0.302112967,557.5804476,-1.715661557,-1.915961974,-0.583396508,0.681549031,-2.333684527,49
ABFDTYJJUSUWRB-UHFFFAOYSA-N,CN(C)c1ccc(cc1)N=C=Nc1ccc(cc1)N(C)C,-1.772342835,343.1382337,280.373,88.75,0.149937106,0.133465403,-0.016471704,0.40786805,0.392102473,-0.015765577,4.203283775,5.748415668,-0.289396899,0.272659967,-0.005490033,0.289606899,580.0515058,0,-1.997600433,-0.364042696,0.330720636,-1.267962924,41
ACGUYXCXAPNIKK-UHFFFAOYSA-N,C(c1c(c(cc(c1O)Cl)Cl)Cl)c1c(c(cc(c1O)Cl)Cl)Cl,0.089474843,207.9954045,406.907,163.75,-0.147304457,-0.157938479,-0.010634022,-0.047816142,-0.059192826,-0.011376684,1.116800104,3.200567943,-0.340466418,0.243597365,-0.034552635,0.340676418,500.6057798,-0.893290036,-0.364847333,-0.448445985,0.356898099,-1.097378322,27
ACMLKANOGIVEPB-UHFFFAOYSA-N,c1ccc2c(c1)cc(C(=O)O)c(=O)o2,-2.823897322,160.6525705,190.155,189,-0.195278048,-0.210320907,-0.015042859,-0.101341103,-0.116902338,-0.015561235,6.083522674,9.293232916,-0.369194339,0.208790342,-0.069359658,0.369404339,355.9131071,-2.002975232,0.735214344,-0.573333003,0.735489025,-2.002975232,20
AECGEIVNZGQBJT-UHFFFAOYSA-N,c1ccc(cc1)C(c1ccccc1)(c1ccccc1)SCCC(=O)O,-2.110796646,362.1828009,348.466,204,-0.034411274,-0.047642389,-0.013231115,0.246838999,0.23263489,-0.014204108,2.247822844,3.359959089,-0.32659532,0.269779951,-0.008370049,0.32680532,578.3499332,-1.111374161,-2.203409419,-0.576424523,0.690889841,-1.324073549,45
AFHJQYHRLPMKHU-GIWDNFATSA-N,c1cc2C(c3cc(cc(c3C(=O)c2c(c1)O)O)CO)C1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O,-1.445595972,363.7801868,418.4,145,-0.58024118,-0.601162923,-0.020921743,-0.265493698,-0.289594442,-0.024100745,3.342337895,6.13666838,-0.352903772,0.224776876,-0.053373124,0.353113772,589.8864883,-4.963107259,-0.107672938,-0.644717963,0.666407909,-4.963107259,52
AFPHTEQTJZKQAQ-UHFFFAOYSA-N,c1cc(cc(c1)[N+](=O)[O-])C(=O)O,0.408412743,122.0860896,167.121,141,-0.107465196,-0.119921496,-0.012456301,-0.035742702,-0.04930018,-0.013557479,3.819185613,5.126814943,-0.408706939,0.212265264,-0.065884736,0.408916939,327.871915,-2.077215255,0.107934273,-0.556230327,0.862826072,-1.214389183,17
AGPKZVBTJJNPAG-UHFFFAOYSA-N,CCC(C)C(C(=O)O)N,-2.493568977,175.7608635,131.175,274.5,-0.180075447,-0.190861087,-0.01078564,-0.043437165,-0.055702847,-0.012265682,2.501617146,3.979154636,-0.363550798,0.295847271,0.017697271,0.363760798,324.4133503,-1.099719037,-0.741678925,-0.566911009,0.640274538,-1.631909098,22
AGUIVNYEYSCPNI-UHFFFAOYSA-N,CN(c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],-1.83088487,145.1288284,287.145,129.09,0.049451878,0.029151999,-0.02029988,0.14778711,0.1240823,-0.02370481,3.227037268,4.581240001,-0.422380521,0.168428573,-0.109721427,0.422590521,426.9465834,-3.673924301,-0.477519849,-0.4858946,0.9604733,-0.510514101,25
AHAMSJOYQAFMCP-UHFFFAOYSA-N,C[n+]1ccc2cc(c(cc2c1Cc1ccc(c(c1)OC)OC)OC)[O-],-1.416756969,372.7363531,339.391,251,-0.132420046,-0.159286644,-0.026866597,0.155101242,0.126118411,-0.02898283,9.454638595,16.2658026,-0.285815097,0.253504957,-0.024645043,0.286025097,593.3120802,-1.854070786,-1.710508085,-0.680329523,0.545213882,-1.925418521,46
