StdInChIKey,SMILES,LogS,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LUMO,LsoluHsolv,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms
AAEVYOVXGOFMJO-UHFFFAOYSA-N,CC(C)Nc1nc(NC(C)C)nc(n1)SC,-3.9821,241.3536,119,208.877,-1064.536616,-1064.546868,-0.010252,-1064.287609,-1064.2983,-0.010691,2.4129,3.5396,-0.23006,-0.0182,0.30107,0.25498,504.5178833,0,-2.24001,-0.83033,0.62646,-2.87268,35
AAKAAFFHKNBIKB-UHFFFAOYSA-N,CCN(CC)C(C)COC(=O)c1ccc(cc1)N,-2.38,250.341,61.5,159.281,-806.7307121,-806.7442348,-0.013522708,-806.431968,-806.447063,-0.015095,3.1348,4.5957,-0.20655,-0.03778,0.28149,0.23147,506.2477417,-1.23214,-3.01848,-0.84995,0.81645,-2.64668,40
AANUQVPVSJJCRI-UHFFFAOYSA-N,c1c2c(ncn1)nc(cn2)Cl,-0.8749,166.5695,,90.631,-909.6501969,-909.6606471,-0.010450255,-909.593124,-909.603475,-0.010351,2.2116,3.1996,-0.2763,-0.12073,0.19854,0.30122,307.2090149,0,0.97255,-0.49242,0.36354,-1.73784,14
AAOISIQFPPAFQO-UHFFFAOYSA-N,CC(C)(C)CCCCC(=O)O,-2.475043149,158.24,,169.826,-504.297483,-504.3054791,-0.007996113,-504.078276,-504.086968,-0.008692,1.6071,2.2428,-0.28962,-0.00654,0.31273,0.31454,397.4150085,-1.38245,-3.24889,-0.7292,0.83272,-1.38245,29
AAOVKJBEBIDNHE-UHFFFAOYSA-N,CN1c2ccc(cc2C(=NCC1=O)c1ccccc1)Cl,-3.727,284.7445,131,201.085,-1262.487352,-1262.500757,-0.01340492,-1262.275228,-1262.288691,-0.013463,3.3196,5.3706,-0.24306,-0.07321,0.24606,0.26798,494.530304,-0.66279,-1.78548,-0.66279,0.69582,-1.59961,33
AAPVQEMYVNZIOO-UHFFFAOYSA-N,C1C2C(COS(=O)(=O)O1)C1(C(=C(C2(C1(Cl)Cl)Cl)Cl)Cl)Cl,-5.945,422.922,181,211.289,-3806.708365,-3806.720266,-0.01190102,-3806.604045,-3806.616533,-0.012488,3.3872,4.3559,-0.28553,-0.07164,0.24763,0.31045,460.9814453,-3.32704,-1.34342,-0.92414,2.58051,-0.33774,26
AAQBHIGARPQBLO-UHFFFAOYSA-N,c1ccc2c(c1)cc(c(=C1C(=O)c3ccccc3C1=O)[nH]2)O,-7.046360074,289.2898,,197.135,-973.0148472,-973.0343244,-0.019477232,-972.80983,-972.829496,-0.019666,4.0798,6.7133,-0.21214,-0.08841,0.23086,0.23706,490.7003784,-1.96112,-0.87366,-0.68688,0.53579,-2.47277,33
AAQWYJPJRWOQEV-UHFFFAOYSA-N,CCC(C(c1ccccc1)C(=O)O)C(=O)O,-2.325617442,222.2402,196,174.779,-766.670082,-766.6839702,-0.013888214,-766.471157,-766.485384,-0.014227,0.5759,0.7162,-0.25818,-0.03377,0.2855,0.2831,434.10672,-2.71297,-1.42299,-0.71258,0.8417,-2.71297,30
AARNXMRADQFOEB-UHFFFAOYSA-N,CC(=O)C1CCC2C3CCC4=CC(=O)CC(C4(C)C3CCC12C)O,-3.82,330.4662,,279.908,-1043.996337,-1044.013508,-0.01717122,-1043.569221,-1043.586769,-0.017548,5.381,7.2277,-0.24813,-0.06038,0.25889,0.27305,533.50177,-2.03451,-5.75789,-0.781,0.61172,-2.03451,54
AARWXQTUVCBGPA-UHFFFAOYSA-N,C(CCCCCCCC(O)(P(=O)(O)O)P(=O)(O)O)CCCCCCCN,-4.143451999,417.42,181,304.83,-1896.202698,-1896.239037,-0.03633975,-1895.726348,-1895.764884,-0.038536,5.257,5.5472,-0.23946,-0.04055,0.27872,0.26438,781.1772461,-7.18653,-7.25773,-1.13048,2.39815,-3.34808,63
AASRJJKRVOUFBO-UHFFFAOYSA-N,C(Cl)(S(=O)(=O)O)(S(=O)(=O)O)S(=O)(=O)O,0.739606897,290.6623,181,137.825,-2371.463933,-2371.478027,-0.01409459,-2371.425078,-2371.440443,-0.015365,3.0852,4.4348,-0.3547,-0.08352,0.23575,0.37962,344.5985413,-8.08577,-0.85649,-0.92853,2.36957,-0.8541,17
