StdInChIKey,SMILES,Dataset1,LogS1,T1,Dataset2,LogS2,T2,Dataset3,LogS3,T3,N_datapoints,SD_error,Error_note,Pred_comment,LogS Changed?,LogS_mean,LogS_median
AAEVYOVXGOFMJO-UHFFFAOYSA-N,CC(C)Nc1nc(NC(C)C)nc(n1)SC,Aq_Sol_DB,-3.8642,,ons_water,-4.1,,,,,2,,,,,-3.9821,-3.9821
AAKAAFFHKNBIKB-UHFFFAOYSA-N,CCN(CC)C(C)COC(=O)c1ccc(cc1)N,Aq_Sol_DB,-2.38,,ons_water,-2.384,,,,,2,,Reaxys removed,,,-2.382,-2.382
AANUQVPVSJJCRI-UHFFFAOYSA-N,c1c2c(ncn1)nc(cn2)Cl,Aq_Sol_DB,-0.8749,,,,,,,,1,,,,,-0.8749,-0.8749
AAOISIQFPPAFQO-UHFFFAOYSA-N,CC(C)(C)CCCCC(=O)O,Aq_Sol_DB,-2.475043149,,,,,,,,1,,,,,-2.475043149,-2.475043149
AAOVKJBEBIDNHE-UHFFFAOYSA-N,CN1c2ccc(cc2C(=NCC1=O)c1ccccc1)Cl,Aq_Sol_DB,-3.71,,ons_water,-3.727,,reaxys_water,-3.875816897,25,3,0.09122382,,,,-3.770938966,-3.727
AAPVQEMYVNZIOO-UHFFFAOYSA-N,C1C2C(COS(=O)(=O)O1)C1(C(=C(C2(C1(Cl)Cl)Cl)Cl)Cl)Cl,Aq_Sol_DB,-5.945,,,,,,,,1,,,,,-5.945,-5.945
AAQBHIGARPQBLO-UHFFFAOYSA-N,c1ccc2c(c1)cc(c(=C1C(=O)c3ccccc3C1=O)[nH]2)O,Aq_Sol_DB,-7.046360074,,,,,,,,1,,,,,-7.046360074,-7.046360074
AAQWYJPJRWOQEV-UHFFFAOYSA-N,CCC(C(c1ccccc1)C(=O)O)C(=O)O,Aq_Sol_DB,-2.3256,,reaxys_water,-2.325634883,25,,,,2,,,,,-2.325617442,-2.325617442
AARNXMRADQFOEB-UHFFFAOYSA-N,CC(=O)C1CCC2C3CCC4=CC(=O)CC(C4(C)C3CCC12C)O,ons_water,-3.82,,Aq_Sol_DB,-3.82,,,,,2,,,,,-3.82,-3.82
AARWXQTUVCBGPA-UHFFFAOYSA-N,C(CCCCCCCC(O)(P(=O)(O)O)P(=O)(O)O)CCCCCCCN,reaxys_water,-4.143451999,21,,,,,,,1,,,,,-4.143451999,-4.143451999
