Date/Time,Solvent,Method,MP
11012021 04:47:00,Benzene,DFT,162.0
11012021 09:37:56,Ethanol,DFT,
12012021 05:58:11,Benzene,DFT,
12012021 08:46:31,Benzene,DFT,162.0
13012021 04:53:41,Benzene,DFT,
13012021 10:21:45,Benzene,DFT,
13012021 10:22:00,Benzene,DFT,162.0
15012021 09:43:52,Ethanol,DFT,
19012021 10:15:56,Ethanol,DFT,
20012021 06:13:02,Ethanol,DFT,
27012021 10:26:02,Acetone,PM6,
16022021 14:53:15,Benzene,DFT,166.0
17032021 11:32:59,Benzene,DFT,166.0
23032021 11:45:14,Benzene,DFT,
