StdInChIKey,Name,Smile,Sol,LogS,Sol_cat,T,Volume,MW,MP,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LsoluHsolv,LUMO,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,any.halides,F,Cl,Br,I,carbonyl,ketone,aldehyde,amide,ester,carboxyl,alkene,alkyne,all.aromatic,aromatic.C,aromatic.N,aromatic.S,aromatic.O,nitrile,X1st.2nd.amine,nitro,azo,alcohol,ether.inc..ester,P,S,thiol,thioamide,sulfonamide,heterocyclic,at.least.1.ring,unfused.benzene.ring,X3.membered.ring,X4.membered.ring,X5.membered.ring,X6.membered.ring,X7.membered.ring,H.bond.donor,Acidic.hydroxyl,H.bond.acceptor
ABFDTYJJUSUWRB-UHFFFAOYSA-N,"bis-(4-dimethylamino-phenyl)-carbodiimide; bis(p-dimethylaminophenyl)carbodi-imide; Bis-(4-dimethylamino-phenyl)-carbodiimid; 1,3-Bis-(4-dimethylamino-phenyl)-carbodiimid",CN(C)C1=CC=C(C=C1)N=C=NC1=CC=C(C=C1)N(C)C,100 g solvent dissolves. 14.2 g Substance.,-0.400578187,D,21,305.864,280.373,88.75,0.149765167,0.133845086,-0.015920081,0.407735,0.392058,-0.015677,1.611,2.7897,-0.28896,0.25267,-0.00534,0.26099,578.8140869,0,-1.998039,-0.363386,0.329778,-1.264531,41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
ABRHLWPJYNIPHN-UHFFFAOYSA-N,"N,N'-benzene-1,4-diyldibenzamide; N,N?-(benzene-1,4-diyl)dibenzamide; N,N?-(1,4-phenylene)dibenzamide; N,N'-dibenzoyl-1,4-phenylenediamine; N-(4-benzoylaminophenyl)-benzamide; N,N'-(1,4-phenylene)dibenzamide; N,N'-1,4-phenylenebisbenzamide",O=C(NC1=CC=C(NC(=O)C2=CC=CC=C2)C=C1)C1=CC=CC=C1,0.1,-3.500180194,A,NA,306.078,316.359,337,-0.007523383,-0.026490404,-0.018967022,0.232611,0.211996,-0.020615,6.7639,9.8196,-0.30683,0.24174,-0.01627,0.27886,600.1051025,-1.183849,-0.851117,-0.591925,0.617975,-2.102374,40,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
ACGUYXCXAPNIKK-UHFFFAOYSA-N,hexachlorophene; Hexachlorophen,OC1=C(CC2=C(O)C(Cl)=CC(Cl)=C2Cl)C(Cl)=C(Cl)C=C1Cl,1010,0.394826213,E,20,191.108,406.907,163.75,-0.145949927,-0.154243389,-0.008293462,-0.046145,-0.055206,-0.009061,0.4223,0.693,-0.34152,0.2233,-0.03471,0.31355,504.3122559,-0.885467,-0.358645,-0.442734,0.353156,-1.093026,27,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
AFHJQYHRLPMKHU-GIWDNFATSA-N,"10-glucopyranosyl-1,8-dihydroxy-3-(hydroxymethyl)-9(10H)-anthracenone; aloin; 10-xi-D-glucopyranosyl-1,8-dihydroxy-3-hydroxymethyl-anthrone",[H]C1(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C1([H])C2=C(C(O)=CC=C2)C(=O)C2=C1C=C(CO)C=C2O,100 g solvent dissolves. 3.2 g Substance.,-1.221572041,C,18,383.746,418.4,145,-0.578268778,-0.59745459,-0.019185812,-0.264673,-0.287855,-0.023182,2.7059,3.8167,-0.3463,0.2129,-0.04511,0.31833,603.3451538,-4.956109,-0.093324,-0.646155,0.669876,-4.956109,52,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1
AFPHTEQTJZKQAQ-UHFFFAOYSA-N,3-nitrobenzoic acid; m-nitrobenzoic acid,OC(=O)C1=CC=CC(=C1)N(=O)=O,464.593,0.444041636,E,20,135.751,167.121,141,-0.107182083,-0.119700057,-0.012517974,-0.035465,-0.049176,-0.013711,5.5207,7.2826,-0.40892,0.19234,-0.06567,0.38095,328.4005127,-2.074127,0.106089,-0.556861,0.862109,-1.212018,17,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
AIVJRJRAYJHCCR-DPAQBDIFSA-N,cholesteryl hydrogenphosphite; Phosphorigsaeure-monocholesterylester; Cholesteryl-hydrogenphosphit,[H][C@@](C)(CCCC(C)C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OP([H])(O)=O,0.67,-2.827756863,B,20,562.102,450.642,158.5,-0.401013745,-0.416971536,-0.015957791,0.178404,0.160564,-0.01784,2.3661,3.2924,-0.3401,0.29142,0.03341,0.31213,762.1624756,-2.278282,-6.045012,-0.895909,1.521829,-0.756453,78,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1
AJVBPNRMKNARPG-UHFFFAOYSA-N,3-sulfamoyl-benzoic acid amide; 3-Sulfamoyl-benzoesaeure-amid; 3-Carbamoyl-benzolsulfonsaeureamid; 3-Sulfonamido-benzamid,NC(=O)C1=CC(=CC=C1)S(N)(=O)=O,24,-0.921291877,D,25,164.565,200.218,175.5,-0.147166943,-0.174159309,-0.026992366,-0.048256,-0.076834,-0.028578,4.166,5.6777,-0.38755,0.22126,-0.03675,0.35958,380.8051147,-2.611222,-0.304952,-0.99497,2.557507,-1.522564,21,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1
ALYNCZNDIQEVRV-UHFFFAOYSA-N,4-amino-benzoic acid; 4-aminobenzoic acid; 4-carboxyanilin; Para-aminobenzoic acid,NC1=CC=C(C=C1)C(O)=O,100 g solvent dissolves. 38 g Substance.,0.337495442,E,24,131.749,137.138,187.55,-0.111277305,-0.123319099,-0.012041795,-0.025844,-0.039537,-0.013693,5.2231,7.4943,-0.32756,0.24447,-0.01354,0.29959,311.4051514,-1.169214,0.045308,-0.616254,0.704681,-1.640918,17,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
AMBQHHVBBHTQBF-UOUCRYGSSA-N,"loganin; (1S,6S,7R)-methyl-6-hydroxy-7-methyl-1-(((2S,3R,4S,5S)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)oxy)-1,4a,5,6,7,7?hexahydrocyclopenta[c]pyran-4-carboxylate; (1S,4aS,6S,7R,7aS)-methyl 6-hydroxy-7-methyl-1-(3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2yloxy)-1,4a,5,6,7,7a-hexahydrocyclopenta[c]pyran-4-carboxylate; loganic acid methyl ester; loganoside; loganine; Loganin",[H][C@]12C[C@H](O)[C@H](C)[C@@]1([H])[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)OC=C2C(=O)OC,100 g solvent dissolves. 0.239 g Substance.at:20-22 degreeC.,-2.318227789,B,NA,408.377,390.387,222.5,-0.708487055,-0.730277248,-0.021790193,-0.379857,-0.404321,-0.024464,3.8632,4.7369,-0.36768,0.2425,-0.01551,0.33971,628.1677856,-5.335574,0.317503,-0.599961,0.688328,-5.335574,53,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1
ANGUXJDGJCHGOG-UHFFFAOYSA-N,1-(3-{2-[4-(2-methyl-5-quinolinyl)-1-piperazinyl]ethyl}phenyl)-2-imidazolidinone,CC1=NC2=CC=CC(N3CCN(CCC4=CC(=CC=C4)N4CCNC4=O)CC3)=C2C=C1,4,-2.016550754,B,20,452.825,415.538,167,0.049732266,0.024028036,-0.02570423,0.45592,0.429941,-0.025979,4.0121,4.8749,-0.3184,0.24021,-0.0178,0.29043,740.1884766,-0.59911,-2.096237,-0.59911,0.680486,-2.684383,60,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1
