StdInChIKey,Name,Smile,Sol,LogS,Sol_cat,T,Volume,MW,MP,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LsoluHsolv,LUMO,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,Longest_chain,any halides,F,Cl,Br,I,carbonyl,ketone,aldehyde,amide,ester,carboxyl,alkene,alkyne,all aromatic,aromatic C,aromatic N,aromatic S,aromatic O,nitrile,1st/2nd amine,nitro,azo,alcohol,ether inc. ester,P,S,thiol,thioamide,sulfonamide,heterocyclic,at least 1 ring,unfused benzene ring,3 membered ring,4 membered ring,5 membered ring,6 membered ring,7 membered ring,H-bond donor,Acidic hydroxyl,H-bond acceptor
ABFDTYJJUSUWRB-UHFFFAOYSA-N,"bis-(4-dimethylamino-phenyl)-carbodiimide; bis(p-dimethylaminophenyl)carbodi-imide; Bis-(4-dimethylamino-phenyl)-carbodiimid; 1,3-Bis-(4-dimethylamino-phenyl)-carbodiimid",CN(C)C1=CC=C(C=C1)N=C=NC1=CC=C(C=C1)N(C)C,100 g solvent dissolves. 14.2 g Substance.,-0.400578187,D,21,241.501,280.373,88.75,-878.8497998,-878.8602904,-0.010490633,-878.559952,-878.570892,-0.01094,3.041,4.3509,-0.18777,0.23692,-0.02109,0.1598,579.6759033,0,-2.83775,-0.51148,0.65003,-2.00193,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
ABRHLWPJYNIPHN-UHFFFAOYSA-N,"N,N'-benzene-1,4-diyldibenzamide; N,N?-(benzene-1,4-diyl)dibenzamide; N,N?-(1,4-phenylene)dibenzamide; N,N'-dibenzoyl-1,4-phenylenediamine; N-(4-benzoylaminophenyl)-benzamide; N,N'-(1,4-phenylene)dibenzamide; N,N'-1,4-phenylenebisbenzamide",O=C(NC1=CC=C(NC(=O)C2=CC=CC=C2)C=C1)C1=CC=CC=C1,0.1,-3.500180194,A,NA,244.277,316.359,337,-1031.794982,-1031.814458,-0.0194765,-1031.530348,-1031.550072,-0.019724,6.5733,9.8395,-0.21409,0.19705,-0.06096,0.18612,589.2887573,-1.3404,-1.95217,-0.67022,0.68005,-2.56763,40,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
ACGUYXCXAPNIKK-UHFFFAOYSA-N,hexachlorophene; Hexachlorophen,OC1=C(CC2=C(O)C(Cl)=CC(Cl)=C2Cl)C(Cl)=C(Cl)C=C1Cl,1010,0.394826213,E,20,211.898,406.907,163.75,-3410.630344,-3410.638094,-0.00775,-3410.520756,-3410.528914,-0.008158,1.6316,2.3137,-0.24567,0.20381,-0.0542,0.2177,517.7671509,-1.4061,-0.93185,-0.70305,0.5304,-1.27138,27,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
AFHJQYHRLPMKHU-GIWDNFATSA-N,"10-glucopyranosyl-1,8-dihydroxy-3-(hydroxymethyl)-9(10H)-anthracenone; aloin; 10-xi-D-glucopyranosyl-1,8-dihydroxy-3-hydroxymethyl-anthrone",[H]C1(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C1([H])C2=C(C(O)=CC=C2)C(=O)C2=C1C=C(CO)C=C2O,100 g solvent dissolves. 3.2 g Substance.,-1.221572041,C,18,331.64,418.4,145,-1490.54041,-1490.564558,-0.02414815,-1490.184251,-1490.209706,-0.025455,5.556,7.4498,-0.23503,0.16797,-0.09004,0.20706,602.9431152,-6.70446,-0.66575,-0.79796,0.53875,-6.70446,52,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1
AFPHTEQTJZKQAQ-UHFFFAOYSA-N,3-nitrobenzoic acid; m-nitrobenzoic acid,OC(=O)C1=CC=CC(=C1)N(=O)=O,464.593,0.444041636,E,20,101.25,167.121,141,-625.3494318,-625.3618069,-0.012375019,-625.267942,-625.280698,-0.012756,5.6269,7.3856,-0.30206,0.14264,-0.11537,0.27409,327.256012,-2.14739,-0.02305,-0.71675,0.81559,-1.64403,17,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
AIVJRJRAYJHCCR-DPAQBDIFSA-N,cholesteryl hydrogenphosphite; Phosphorigsaeure-monocholesterylester; Cholesteryl-hydrogenphosphit,[H][C@@](C)(CCCC(C)C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OP([H])(O)=O,0.67,-2.827756863,B,20,365.024,450.642,158.5,-1624.318827,-1624.330956,-0.01212913,-1623.679287,-1623.692648,-0.013361,2.724,3.5675,-0.24034,0.24742,-0.01059,0.21237,768.3504639,-3.04284,-10.3563,-1.13174,2.18847,-0.85437,78,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1
AJVBPNRMKNARPG-UHFFFAOYSA-N,3-sulfamoyl-benzoic acid amide; 3-Sulfamoyl-benzoesaeure-amid; 3-Carbamoyl-benzolsulfonsaeureamid; 3-Sulfonamido-benzamid,NC(=O)C1=CC(=CC=C1)S(N)(=O)=O,24,-0.921291877,D,25,147.691,200.218,175.5,-1004.902141,-1004.924204,-0.02206299,-1004.78784,-1004.810486,-0.022646,4.8139,7.5674,-0.27525,0.18608,-0.07193,0.24728,374.5038147,-2.61934,-0.58144,-1.12119,2.29106,-2.29683,21,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1
ALYNCZNDIQEVRV-UHFFFAOYSA-N,4-amino-benzoic acid; 4-aminobenzoic acid; 4-carboxyanilin; Para-aminobenzoic acid,NC1=CC=C(C=C1)C(O)=O,100 g solvent dissolves. 38 g Substance.,0.337495442,E,24,110.42,137.138,187.55,-476.2024602,-476.2153478,-0.012887554,-476.104594,-476.11803,-0.013436,4.6383,6.4036,-0.2213,0.21401,-0.044,0.19333,310.6942444,-1.40858,-0.19584,-0.83404,0.80126,-2.24262,17,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
AMBQHHVBBHTQBF-UOUCRYGSSA-N,"loganin; (1S,6S,7R)-methyl-6-hydroxy-7-methyl-1-(((2S,3R,4S,5S)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)oxy)-1,4a,5,6,7,7?hexahydrocyclopenta[c]pyran-4-carboxylate; (1S,4aS,6S,7R,7aS)-methyl 6-hydroxy-7-methyl-1-(3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2yloxy)-1,4a,5,6,7,7a-hexahydrocyclopenta[c]pyran-4-carboxylate; loganic acid methyl ester; loganoside; loganine; Loganin",[H][C@]12C[C@H](O)[C@H](C)[C@@]1([H])[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)OC=C2C(=O)OC,100 g solvent dissolves. 0.239 g Substance.at:20-22 degreeC.,-2.318227789,B,NA,253.271,390.387,222.5,-1415.704499,-1415.728677,-0.02417746,-1415.324604,-1415.350715,-0.026111,3.3972,4.0326,-0.24597,0.2163,-0.04171,0.218,624.2459717,-6.96765,-0.73032,-0.80632,0.80891,-6.96765,53,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1
ANGUXJDGJCHGOG-UHFFFAOYSA-N,1-(3-{2-[4-(2-methyl-5-quinolinyl)-1-piperazinyl]ethyl}phenyl)-2-imidazolidinone,CC1=NC2=CC=CC(N3CCN(CCC4=CC(=CC=C4)N4CCNC4=O)CC3)=C2C=C1,4,-2.016550754,B,20,288.309,415.538,167,-1319.179039,-1319.199155,-0.02011588,-1318.730089,-1318.750439,-0.02035,3.6543,5.1667,-0.21314,0.2027,-0.05531,0.18517,735.9269409,-0.70425,-3.85827,-0.71625,0.82581,-3.47509,60,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1
