StdInChIKey,Name,Smile,Sol,LogS,Sol_cat,T,Volume,MW,MP,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LsoluHsolv,LUMO,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,any halides,F,Cl,Br,I,carbonyl,ketone,aldehyde,amide,ester,carboxyl,alkene,alkyne,all aromatic,aromatic C,aromatic N,aromatic S,aromatic O,nitrile,1st/2nd amine,nitro,azo,alcohol,ether inc. ester,P,S,thiol,thioamide,sulfonamide,heterocyclic,at least 1 ring,unfused benzene ring,3 membered ring,4 membered ring,5 membered ring,6 membered ring,7 membered ring,H-bond donor,Acidic hydroxyl,H-bond acceptor
ABTUPTPDCSVHOI-UHFFFAOYSA-N,azacyclononadecan-2-one; Azacyclononadecan-2-on,O=C1CCCCCCCCCCCCCCCCCN1,417.399,0.171100776,F,22,411.421,281.482,101.5,-0.19204585,-0.197436828,-0.005390979,0.225255,0.219231,-0.006024,4.8,5.4272,-0.35873,0.22453,0.04421,0.19982,554.7750244,-0.608457,-3.834562,-0.608457,0.613373,-1.117504,55,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
ADGVSBKVUXRJQH-UHFFFAOYSA-N,bis-(9-phenyl-fluoren-9-yl)-ether; Bis-(9-phenyl-fluoren-9-yl)-aether; Di-<9-Phenyl-fluorenyl-(9)>-aether,O(C1(c2ccccc2)c3ccccc3c4ccccc14)C5(c6ccccc6)c7ccccc7c8ccccc58,6.5 g solvent dissolves. 1 g Substance.,-0.568182429,E,NA,510.634,498.624,239,0.211731976,0.208067421,-0.003664555,0.638879,0.636249,-0.00263,1.3109,1.4706,-0.3211,0.16397,-0.01635,0.16219,711.4678955,-0.498044,-3.521109,-0.498044,0.339477,-0.498044,65,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1
AEDIXYWIVPYNBI-UHFFFAOYSA-N,heptanamide; n-heptanecarboxamide; n-heptoic acid amide; heptanoyl amide; heptylamide; n-heptylamide; Heptanamid,CCCCCCC(N)=O,100 g solvent dissolves. 0.67 g Substance.,-1.342690328,D,20,192.383,129.202,97,-0.124911825,-0.129881746,-0.004969921,0.031189,0.028089,-0.0031,3.8461,4.4464,-0.38371,0.22319,0.04287,0.2248,366.7291565,-0.590482,-1.236238,-0.604071,0.628121,-1.194553,24,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
AFFZWQZWWRKJSU-UHFFFAOYSA-N,"1,7,7-trimethyl-3-([2]naphthylamino-methylene)-norbornan-2-one; 1,7,7-Trimethyl-3-([2]naphthylamino-methylen)-norbornan-2-on",CC1(C)C4CCC1/C(=C/Nc3ccc2ccccc2c3)C4=O,5.4253,-1.750473715,D,NA,324.953,305.42,185.5,0.007082432,0.002836652,-0.004245781,0.297007,0.292171,-0.004836,2.5923,3.0066,-0.30171,0.157,-0.02332,0.1428,550.3479614,-0.570603,-2.427785,-0.570603,0.586102,-0.949933,43,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1
AGUIVNYEYSCPNI-UHFFFAOYSA-N,tetryl; Tetryl,CN(c1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,100 g solvent dissolves. 5.070 g Substance.,-0.810589193,E,18,157.667,287.145,129,0.04909341,0.040676539,-0.008416871,0.147551,0.137765,-0.009786,3.2391,3.6983,-0.4238,0.07039,-0.10993,0.26489,426.8919983,-3.51302,-0.558494,-0.468182,0.950792,-0.418205,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
ALBYIUDWACNRRB-UHFFFAOYSA-N,Caproamide; hexanamide,CCCCCC(N)=O,100 g solvent dissolves. 1.15 g Substance.,-1.058156274,D,20,176.915,115.175,100,-0.116999346,-0.121928624,-0.004929278,0.015201,0.010402,-0.004799,3.9225,4.5226,-0.38364,0.22326,0.04294,0.22473,335.738678,-0.590864,-0.971936,-0.603842,0.627964,-1.194706,21,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ALYNCZNDIQEVRV-UHFFFAOYSA-N,4-amino-benzoic acid; 4-aminobenzoic acid; 4-carboxyanilin; Para-aminobenzoic acid,Nc1ccc(cc1)C(O)=O,in reinem Loesungsmittel:0.04 Mol-prozent.,-2.34814254,C,25,131.859,137.138,187,-0.111277305,-0.116883468,-0.005606163,-0.025844,-0.032278,-0.006434,5.2231,6.2033,-0.32756,0.16678,-0.01354,0.16865,311.4248657,-1.126611,0.067668,-0.574031,0.689702,-1.628196,17,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
ANXTWUZEYYACQX-UHFFFAOYSA-N,"N,N-bis(3-methylphenyl)-N-(4-methylphenyl)amine; di-m-tolyl-p-tolyl-amine; Di-m-tolyl-p-tolyl-amin; 3.3'4''-Trimethyl-triphenylamin; m.m.p-Tritolylamin; 3-methyl-N-(3-methylphenyl)-N-(4-methylphenyl)-benzenamine",Cc1ccc(cc1)N(c2cccc(C)c2)c3cccc(C)c3,Solubility: 89.66 p(g/100g solution),0.436610032,F,17,380.574,287.404,89.5,0.080297442,0.077380862,-0.00291658,0.366901,0.363373,-0.003528,0.2061,0.1873,-0.2873,0.18813,0.00781,0.12839,576.914856,0,-3.137946,-0.524343,0.302895,-0.379285,43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
AOZXETLGPZAZNK-UHFFFAOYSA-N,"2,4,6-trinitro-phenetole; ethyl 2,4,6-trinitrophenyl ether; 2,4,6-Trinitro-phenetol; 2.4.6-Trinitro-1-aethoxy-benzol; Aethyl-pikryl-aether; Pikrinsaeureaethyl-aether; Aethyl-(2.4.6-trinitro-phenyl)-aether",CCOc1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,100 g solvent dissolves. 49.21 g Substance.,0.224355743,F,15,153.961,257.159,78.5,-0.035351548,-0.042885382,-0.007533834,0.07535,0.066695,-0.008655,3.0516,3.3341,-0.42603,0.08762,-0.0927,0.26712,420.664917,-3.1882,-0.694579,-0.508005,0.888072,-0.543511,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
APXIOBIHMSMFLO-UHFFFAOYSA-N,"o-Methoxybenzaldehyde 2,4-dinitrophenylhydrazone; 3-methoxy-benzaldehyde-(2,4-dinitro-phenylhydrazone); 3-Methoxy-benzaldehyd-(2,4-dinitro-phenylhydrazon); <3-Methoxy-benzaldehyd>-2.4-dinitro-phenylhydrazon; 3-Methoxy-benzaldehyd-<2.4-dinitro-phenylhydrazon>; <m-Methoxybenzaldehyd>-2.4-dinitro-phenylhydrazon",COc1cccc(C=NNc2ccc(cc2[N+]([O-])=O)[N+]([O-])=O)c1,0.325,-2.988178757,C,20,291.002,316.273,215,0.047658145,0.038937021,-0.008721123,0.237877,0.225245,-0.012632,9.766,10.9908,-0.34264,0.10907,-0.07125,0.18373,551.9619751,-2.36341,-1.223344,-0.542766,0.888501,-1.001869,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
