StdInChIKey,Name,Smile,Sol,LogS,S,Sol_cat,T,Volume,MW,MP,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LsoluHsolv,LUMO,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,Longest_chain,any halides,F,Cl,Br,I,carbonyl,ketone,aldehyde,amide,ester,carboxyl,alkene,alkyne,all aromatic,aromatic C,aromatic N,aromatic S,aromatic O,nitrile,1st/2nd amine,nitro,azo,alcohol,ether inc. ester,P,S,thiol,thioamide,sulfonamide,heterocyclic,at least 1 ring,unfused benzene ring,3 membered ring,4 membered ring,5 membered ring,6 membered ring,7 membered ring,H-bond donor,Acidic hydroxyl,H-bond acceptor
ABTUPTPDCSVHOI-UHFFFAOYSA-N,azacyclononadecan-2-one; Azacyclononadecan-2-on,O=C1CCCCCCCCCCCCCCCCCN1,417.399,0.171100776,1.482862136,F,22,267.676,281.482,101.5,-837.0361108,-837.0412076,-0.005096804,-836.575896,-836.581076,-0.00518,4.4352,5.0901,-0.24962,0.17762,-0.0027,0.09071,566.0393066,-0.68286,-7.08567,-0.68286,0.69076,-1.34498,55,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
ADGVSBKVUXRJQH-UHFFFAOYSA-N,bis-(9-phenyl-fluoren-9-yl)-ether; Bis-(9-phenyl-fluoren-9-yl)-aether; Di-<9-Phenyl-fluorenyl-(9)>-aether,O(C1(c2ccccc2)c3ccccc3c4ccccc14)C5(c6ccccc6)c7ccccc7c8ccccc58,6.5 g solvent dissolves. 1 g Substance.,-0.568182429,0.270282278,E,NA,368.181,498.624,239,-1538.978229,-1538.982566,-0.00433716,-1538.518521,-1538.523043,-0.004522,1.4903,1.6959,-0.21818,0.13097,-0.04935,0.05927,724.4598999,-0.59506,-5.87558,-0.59506,0.26142,-0.59506,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1
AEDIXYWIVPYNBI-UHFFFAOYSA-N,heptanamide; n-heptanecarboxamide; n-heptoic acid amide; heptanoyl amide; heptylamide; n-heptylamide; Heptanamid,CCCCCCC(N)=O,100 g solvent dissolves. 0.67 g Substance.,-1.342690328,0.045426541,D,20,111.728,129.202,97,-405.8001339,-405.8052283,-0.005094443,-405.621683,-405.62604,-0.004357,3.8015,4.3899,-0.25999,0.17106,-0.00926,0.10108,367.3771667,-0.66254,-2.41762,-0.87604,0.68018,-1.53858,24,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
AFFZWQZWWRKJSU-UHFFFAOYSA-N,"1,7,7-trimethyl-3-([2]naphthylamino-methylene)-norbornan-2-one; 1,7,7-Trimethyl-3-([2]naphthylamino-methylen)-norbornan-2-on",CC1(C)C4CCC1/C(=C/Nc3ccc2ccccc2c3)C4=O,5.4253,-1.750473715,0.017763408,D,NA,253.549,305.42,185.5,-904.7882554,-904.792497,-0.004241612,-904.470727,-904.475785,-0.005058,2.5491,3.0135,-0.20092,0.11594,-0.06438,0.04201,549.8442993,-0.63938,-4.15427,-0.67646,0.5472,-1.22553,43,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1
AGUIVNYEYSCPNI-UHFFFAOYSA-N,tetryl; Tetryl,CN(c1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,100 g solvent dissolves. 5.070 g Substance.,-0.810589193,0.154671682,E,18,193.402,287.145,129,-1144.905108,-1144.913311,-0.00820297,-1144.798269,-1144.806692,-0.008423,3.8769,4.5521,-0.31796,0.01907,-0.16125,0.15905,423.1567993,-2.92363,-0.34661,-0.48159,0.62418,-1.08525,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
ALBYIUDWACNRRB-UHFFFAOYSA-N,Caproamide; hexanamide,CCCCCC(N)=O,100 g solvent dissolves. 1.15 g Substance.,-1.058156274,0.087466898,D,20,119.575,115.175,100,-366.4854242,-366.490508,-0.005083868,-366.333416,-366.337716,-0.0043,3.7302,4.3103,-0.26008,0.17117,-0.00915,0.10117,335.2944336,-0.66255,-1.95736,-0.87603,0.68019,-1.53858,21,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ALYNCZNDIQEVRV-UHFFFAOYSA-N,4-amino-benzoic acid; 4-aminobenzoic acid; 4-carboxyanilin; Para-aminobenzoic acid,Nc1ccc(cc1)C(O)=O,in reinem Loesungsmittel:0.04 Mol-prozent.,-2.34814254,0.004485981,C,25,110.295,137.138,187,-476.2024602,-476.2090667,-0.006606506,-476.104594,-476.110643,-0.006049,4.6383,4.9239,-0.2213,0.13632,-0.044,0.06239,310.138855,-1.37798,-0.16557,-0.84473,0.80016,-2.22271,17,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
ANXTWUZEYYACQX-UHFFFAOYSA-N,"N,N-bis(3-methylphenyl)-N-(4-methylphenyl)amine; di-m-tolyl-p-tolyl-amine; Di-m-tolyl-p-tolyl-amin; 3.3'4''-Trimethyl-triphenylamin; m.m.p-Tritolylamin; 3-methyl-N-(3-methylphenyl)-N-(4-methylphenyl)-benzenamine",Cc1ccc(cc1)N(c2cccc(C)c2)c3cccc(C)c3,Solubility: 89.66 p(g/100g solution),0.436610032,2.732813737,F,17,236.117,287.404,89.5,-867.6782929,-867.6806238,-0.002330941,-867.369752,-867.372361,-0.002609,0.1388,0.1534,-0.18608,0.15514,-0.02518,0.02717,579.4487915,0,-4.71713,-0.69893,0.25373,-0.4814,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
AOZXETLGPZAZNK-UHFFFAOYSA-N,"2,4,6-trinitro-phenetole; ethyl 2,4,6-trinitrophenyl ether; 2,4,6-Trinitro-phenetol; 2.4.6-Trinitro-1-aethoxy-benzol; Aethyl-pikryl-aether; Pikrinsaeureaethyl-aether; Aethyl-(2.4.6-trinitro-phenyl)-aether",CCOc1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,100 g solvent dissolves. 49.21 g Substance.,0.224355743,1.676315432,F,15,137.011,257.159,78.5,-999.6026522,-999.6090905,-0.006438348,-999.479773,-999.486647,-0.006874,2.8642,3.1388,-0.31834,0.03899,-0.14133,0.15943,420.1163025,-2.74249,-0.61443,-0.71426,0.5012,-1.2407,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
APXIOBIHMSMFLO-UHFFFAOYSA-N,"o-Methoxybenzaldehyde 2,4-dinitrophenylhydrazone; 3-methoxy-benzaldehyde-(2,4-dinitro-phenylhydrazone); 3-Methoxy-benzaldehyd-(2,4-dinitro-phenylhydrazon); <3-Methoxy-benzaldehyd>-2.4-dinitro-phenylhydrazon; 3-Methoxy-benzaldehyd-<2.4-dinitro-phenylhydrazon>; <m-Methoxybenzaldehyd>-2.4-dinitro-phenylhydrazon",COc1cccc(C=NNc2ccc(cc2[N+]([O-])=O)[N+]([O-])=O)c1,0.325,-2.988178757,0.001027593,C,20,214.623,316.273,215,-1135.657135,-1135.665025,-0.00789071,-1135.450834,-1135.45929,-0.008456,10.1227,11.5634,-0.23824,0.05983,-0.12049,0.07933,548.2446899,-2.17049,-1.37337,-0.54118,0.49252,-1.842,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
