StdInChIKey,Smile,Sol,LogS,Sol_cat,T,Volume,MW,MP,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LsoluHsolv,LUMO,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,1st/2nd amine,3 membered ring,4 membered ring,5 membered ring,6 membered ring,7 membered ring,alcohol,aldehyde,alkene,alkyne,amide,all aromatic,azo,unfused benzene ring,Br,carbonyl,carboxyl,Cl,aromatic C,ester,ether inc. ester,F,any halides,heterocyclic,H-bond acceptor,Acidic hydroxyl,H-bond donor,I,ketone,nitrile,nitro,aromatic N,aromatic O,P,at least 1 ring,S,sulfonamide,aromatic S,thioamide,thiol
AADVZSXPNRLYLV-XRXNUMIJSA-N,c1ccc2c(c1)c1CCN3C[C@@H]4CC[C@@H]([C@@H]([C@H]4C[C@H]3c1[nH]2)C(=O)O)O,100 g solvent dissolves. 0.325 g Substance.,-2.122892155,B,16.5,408.901,340.422,282,-0.184521628,-0.205041243,-0.020519615,0.151108,0.128701,-0.022407,2.8747,3.3954,-0.30012,0.28474,0.00659,0.30033,568.9313965,-1.703336,-1.827382,-0.594448,0.671666,-2.322373,49,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
ABFDTYJJUSUWRB-UHFFFAOYSA-N,CN(C)c1ccc(cc1)N=C=Nc1ccc(cc1)N(C)C,100 g solvent dissolves. 0.6 g Substance.,-1.772342835,C,21,334.394,280.373,88.75,0.14976516,0.133526573,-0.016238587,0.407733,0.392221,-0.015512,1.6109,5.3274,-0.28896,0.27281,-0.00534,0.28917,581.6485596,0,-1.998495,-0.364114,0.330729,-1.267077,41,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ACGUYXCXAPNIKK-UHFFFAOYSA-N,C(c1c(c(cc(c1O)Cl)Cl)Cl)c1c(c(cc(c1O)Cl)Cl)Cl,500,0.089474843,E,20,233.522,406.907,163.75,-0.145949879,-0.154561836,-0.008611956,-0.045493,-0.054728,-0.009235,0.4228,0.6897,-0.34153,0.24344,-0.03471,0.34174,503.0986023,-0.888002,-0.361399,-0.444001,0.353839,-1.092972,27,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
AECGEIVNZGQBJT-UHFFFAOYSA-N,c1ccc(cc1)C(c1ccccc1)(c1ccccc1)SCCC(=O)O,2.7,-2.110796646,B,20,390.668,348.466,204,-0.032812442,-0.043954798,-0.011142356,0.245669,0.235742,-0.009927,0.6428,0.5815,-0.32825,0.26878,-0.00937,0.32846,595.0779419,-1.101531,-2.235955,-0.568019,0.674289,-1.285776,45,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
AFHJQYHRLPMKHU-GIWDNFATSA-N,c1cc2C(c3cc(cc(c3C(=O)c2c(c1)O)O)CO)C1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O,100 g solvent dissolves. 1.9 g Substance.,-1.445595972,C,18,367.301,418.4,145,-0.578268806,-0.594207922,-0.015939116,-0.26466,-0.28704,-0.02238,2.7062,6.9815,-0.3463,0.23304,-0.04511,0.34651,611.0671387,-4.971248,-0.063021,-0.647584,0.669982,-4.971248,52,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
AGUIVNYEYSCPNI-UHFFFAOYSA-N,CN(c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],100 g solvent dissolves. 0.537 g Substance.,-1.83088487,C,18,140.585,287.145,129.09,0.04909341,0.029444892,-0.019648518,0.147551,0.125914,-0.021637,3.2391,4.6755,-0.4238,0.16822,-0.10993,0.42401,427.0705872,-3.681591,-0.475006,-0.485656,0.962365,-0.512399,25,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
AHAMSJOYQAFMCP-UHFFFAOYSA-N,C[n+]1ccc2cc(c(cc2c1Cc1ccc(c(c1)OC)OC)OC)[O-],13,-1.416756969,C,20,381.012,339.391,251,-0.124918284,-0.161797348,-0.036879064,0.162393,0.123716,-0.038677,11.188,18.2922,-0.28563,0.25666,-0.02149,0.28584,599.2165527,-1.802952,-1.772917,-0.673025,0.572505,-1.875045,46,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
AIWAFUBJIYAIGI-UHFFFAOYSA-N,CCCC(=O)NCCNC(=O)CCC,137,-0.164919184,D,25,293.041,200.281,189.325,-0.194529193,-0.213459221,-0.018930029,0.029023,0.01444,-0.014583,0,0,-0.36453,0.31892,0.04077,0.36474,495.8892822,-1.299058,-1.13217,-0.649529,0.625824,-2.294698,34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ALUFYZNLZVVCAA-UHFFFAOYSA-N,C=C(C)C1CC(=O)C(C)C(=O)C1,9 g solvent dissolves. 1 g Substance.,-0.277683685,D,18,195.451,166.22,187.25,-0.135897764,-0.148455273,-0.012557508,0.027557,0.01422,-0.013337,4.298,5.5484,-0.37266,0.28487,0.00672,0.37287,371.4778137,-1.085968,-1.42153,-0.543139,0.607775,-1.085968,26,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
ANNNHXBSGYPBEY-UHFFFAOYSA-N,COc1ccc(c(c1)OC)N=Cc1ccc(cc1)c1ccccc1,2.76127,-2.06048026,B,22,368.429,317.387,124,0.028264663,0.013057286,-0.015207377,0.295722,0.280108,-0.015614,2.423,3.2286,-0.30425,0.26077,-0.01738,0.30446,625.4154053,-0.759432,-2.048424,-0.520069,0.429798,-1.047145,43,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
