StdInChIKey,Smile,Sol,LogS,Sol_cat,T,Volume,MW,MP,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LsoluHsolv,LUMO,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,Longest_chain,1st/2nd amine,3 membered ring,4 membered ring,5 membered ring,6 membered ring,7 membered ring,alcohol,aldehyde,alkene,alkyne,amide,all aromatic,azo,unfused benzene ring,Br,carbonyl,carboxyl,Cl,aromatic C,ester,ether inc. ester,F,any halides,heterocyclic,H-bond acceptor,Acidic hydroxyl,H-bond donor,I,ketone,nitrile,nitro,aromatic N,aromatic O,P,at least 1 ring,S,sulfonamide,aromatic S,thioamide,thiol
AADVZSXPNRLYLV-XRXNUMIJSA-N,c1ccc2c(c1)c1CCN3C[C@@H]4CC[C@@H]([C@@H]([C@H]4C[C@H]3c1[nH]2)C(=O)O)O,100 g solvent dissolves. 0.325 g Substance.,-2.122892155,B,16.5,272.838,340.422,282,-1111.820345,-1111.838822,-0.0184768,-1111.451773,-1111.470945,-0.019172,4.8828,6.0882,-0.19595,0.26052,-0.01763,0.19616,569.1530151,-2.17471,-3.3684,-0.80503,0.84944,-3.28889,49,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
ABFDTYJJUSUWRB-UHFFFAOYSA-N,CN(C)c1ccc(cc1)N=C=Nc1ccc(cc1)N(C)C,100 g solvent dissolves. 0.6 g Substance.,-1.772342835,C,21,277.864,280.373,88.75,-878.8497997,-878.8604605,-0.010660739,-878.55994,-878.57104,-0.0111,3.0414,4.3751,-0.1878,0.25708,-0.02107,0.18801,579.1953125,0,-2.83961,-0.51169,0.65001,-2.00215,41,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ACGUYXCXAPNIKK-UHFFFAOYSA-N,C(c1c(c(cc(c1O)Cl)Cl)Cl)c1c(c(cc(c1O)Cl)Cl)Cl,500,0.089474843,E,20,206.079,406.907,163.75,-3410.630191,-3410.638092,-0.00790109,-3410.520115,-3410.528373,-0.008258,1.6468,2.344,-0.24575,0.22418,-0.05397,0.24596,517.6691895,-1.40626,-0.9319,-0.70313,0.53055,-1.27174,27,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
AECGEIVNZGQBJT-UHFFFAOYSA-N,c1ccc(cc1)C(c1ccccc1)(c1ccccc1)SCCC(=O)O,2.7,-2.110796646,B,20,266.199,348.466,204,-1399.063851,-1399.07693,-0.01307845,-1398.755332,-1398.768971,-0.013639,0.1471,0.1016,-0.22777,0.24602,-0.03213,0.22798,601.7988281,-1.367,-4.26066,-0.72337,0.83282,-1.17547,45,2,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
AFHJQYHRLPMKHU-GIWDNFATSA-N,c1cc2C(c3cc(cc(c3C(=O)c2c(c1)O)O)CO)C1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O,100 g solvent dissolves. 1.9 g Substance.,-1.445595972,C,18,268.206,418.4,145,-1490.54041,-1490.564929,-0.02451929,-1490.184257,-1490.210127,-0.02587,5.5545,7.4757,-0.23503,0.18811,-0.09004,0.23524,602.9498291,-6.70668,-0.66604,-0.79819,0.53884,-6.70668,52,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
AGUIVNYEYSCPNI-UHFFFAOYSA-N,CN(c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],100 g solvent dissolves. 0.537 g Substance.,-1.83088487,C,18,181.137,287.145,129.09,-1144.905108,-1144.92462,-0.01951213,-1144.798269,-1144.818559,-0.02029,3.8769,5.6263,-0.31796,0.1169,-0.16125,0.31817,422.374176,-3.02302,-0.29858,-0.48223,0.62568,-1.14629,25,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
AHAMSJOYQAFMCP-UHFFFAOYSA-N,C[n+]1ccc2cc(c(cc2c1Cc1ccc(c(c1)OC)OC)OC)[O-],13,-1.416756969,C,20,287.076,339.391,251,-1130.405017,-1130.438018,-0.03300153,-1130.08277,-1130.115348,-0.032578,11.1884,17.2023,-0.18755,0.2221,-0.05605,0.18776,604.2354126,-2.3593,-2.42086,-0.73847,0.39191,-2.71856,46,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
AIWAFUBJIYAIGI-UHFFFAOYSA-N,CCCC(=O)NCCNC(=O)CCC,137,-0.164919184,D,25,184.342,200.281,189.325,-653.1295245,-653.148234,-0.018709489,-652.874797,-652.890794,-0.015997,0,0,-0.26104,0.26804,-0.01011,0.26125,494.7801819,-1.40664,-2.59896,-0.70332,0.69568,-2.72676,34,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ALUFYZNLZVVCAA-UHFFFAOYSA-N,C=C(C)C1CC(=O)C(C)C(=O)C1,9 g solvent dissolves. 1 g Substance.,-0.277683685,D,18,146.707,166.22,187.25,-539.9453249,-539.957863,-0.012538125,-539.763236,-539.775635,-0.012399,4.0316,5.2793,-0.25372,0.22439,-0.05376,0.25393,372.5901184,-1.18206,-2.43861,-0.71612,0.61339,-1.18206,26,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
ANNNHXBSGYPBEY-UHFFFAOYSA-N,COc1ccc(c(c1)OC)N=Cc1ccc(cc1)c1ccccc1,2.76127,-2.06048026,B,22,297.219,317.387,124,-1016.886615,-1016.899612,-0.01299726,-1016.589437,-1016.602335,-0.012898,1.4579,2.3913,-0.20031,0.2116,-0.06655,0.20052,616.6037598,-1.08954,-3.05697,-0.55101,0.33357,-1.53931,43,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
