StdInChIKey,Name,Smile,Sol,LogS,Sol_cat,T,MW,MP,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,Volume,HOMO,LsoluHsolv,LUMO,LsolvHsolu,N_atoms,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,1_2_amine,3_ring,4_ring,5_ring,6_ring,7_ring,8_ring,acidic_hydroxyl,alcohol,aldehyde,alkene,alkyne,amide,aromatic,azo,Br,carbonyl,carboxyl,Cl,C_aromatic,ester,ether_ester,F,halide,heterocyclic,H_bond_acceptor,H_bond_donor,I,ketone,nitrile,nitro,N_aromatic,O_aromatic,P,ring,S,sulfonamide,S_aromatic,thioamide,thiol,unfused_benzene
ABICJYZKIYUWEE-UHFFFAOYSA-N,"5-nitro-1,3-diazinane-2,4,6-trione",O=[N+]([O-])C1C(=O)NC(=O)NC1=O,NA,-2.28,K,NA,173.0848,183,-0.191238265,-0.207417325,-0.01617906,-0.14099,-0.158791,-0.017801,2.6335,4.4425,88.242,-0.43691,0.25139,-0.06788,0.46183,15,313.4240723,-2.297768,1.539426,-0.547726,0.880545,-2.512675,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
ADIMAYPTOBDMTL-UHFFFAOYSA-N,"7-chloro-3-hydroxy-5-phenyl-1,3-dihydro-1,4-benzodiazepin-2-one",Clc1cc2C(=NC(O)C(=O)Nc2cc1)c1ccccc1,NA,-3.95,J,NA,286.7171,205,-3.00E-02,-4.66E-02,-0.016603306,0.140756,0.122522,-0.018234,4.3083,6.6053,235.154,-0.34835,0.27759,-0.04168,0.37327,31,489.4851074,-1.072802,-0.152466,-0.548465,0.515915,-2.059459,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
AEXMKKGTQYQZCS-UHFFFAOYSA-N,"3,3-dimethylpentane",C(CC)(CC)(C)C,NA,-4.23,I,NA,100.2034,-135,-6.52E-02,-6.61E-02,-0.000956001,0.096777,0.094288,-0.002489,0.0539,0.0715,181.784,-0.39544,0.47212,0.15285,0.42036,23,305.5043945,0,-2.324602,-0.534728,0.23155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFFLGGQVNFXPEV-UHFFFAOYSA-N,dec-1-ene,C(=C)CCCCCCCC,NA,-5.51,H,NA,140.268,-66.15,-4.57E-02,-4.76E-02,-0.001817563,0.167949,0.165153,-0.002796,0.635,0.7549,283.699,-0.36845,0.36692,0.04765,0.39337,30,426.4515076,0,-2.789478,-0.470287,0.155864,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFOGBLYPWJJVAL-UHFFFAOYSA-N,1-(benzenesulfonyl)-3-butylurea,S(=O)(=O)(NC(=O)NCCCC)c1ccccc1,NA,-3.05,J,NA,256.319,131,-0.186949262,-0.210528178,-0.023578916,0.009764,-0.015559,-0.025323,4.4188,7.3305,227.975,-0.36909,0.29789,-0.02138,0.39401,33,493.7980042,-2.598561,-1.381751,-0.97736,2.599916,-1.397913,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1
AFPHTEQTJZKQAQ-UHFFFAOYSA-N,3-Nitrobenzoic acid,O=[N+]([O-])c1cc(C(=O)O)ccc1,NA,-1.71997,L,NA,167.1208,141,-9.67E-02,-0.11517368,-0.01846761,-0.025574,-0.044973,-0.019399,3.9665,5.4442,108.235,-0.41587,0.24781,-0.07146,0.44079,17,333.2472229,-2.033986,0.068231,-0.524878,0.860808,-1.173178,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
AFYCEAFSNDLKSX-UHFFFAOYSA-N,7-(diethylamino)-4-methylchromen-2-one,O=c1oc2c(c(C)c1)ccc(N(CC)CC)c2,NA,-4.001,I,NA,231.2938,73.5,-0.11138686,-0.127393855,-0.016006995,0.106141,0.087964,-0.018177,7.8379,12.064,287.564,-0.31191,0.29942,-0.01985,0.33683,34,457.7442017,-1.041833,-1.608812,-0.649114,0.727814,-1.348886,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
AGAHNABIDCTLHW-UHFFFAOYSA-N,1-(4-fluorophenyl)-4-[4-hydroxy-4-(4-methylphenyl)piperidin-1-yl]butan-1-one,Fc1ccc(C(=O)CCCN2CCC(O)(c3ccc(C)cc3)CC2)cc1,NA,-4.347,I,NA,355.4513,118.25,-0.171998929,-0.186811515,-0.014812586,0.173265,0.155998,-0.017267,3.1923,3.8064,371.848,-0.32874,0.2951,-0.02417,0.35366,52,644.9004517,-1.189314,-2.66408,-0.6291,0.598895,-1.702569,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
AGMMTXLNIQSRCG-UHFFFAOYSA-N,"7-chloro-2-ethyl-4-oxo-2,3-dihydro-1H-quinazoline-6-sulfonamide",Clc1c(S(=O)(=O)N)cc2C(=O)NC(CC)Nc2c1,NA,-3.29,J,NA,289.7361,275.5,-0.171636241,-0.205926742,-0.034290502,-0.012677,-0.047966,-0.035289,9.6055,14.2676,233.006,-0.35009,0.28749,-0.03178,0.37501,30,461.3995972,-2.650642,-0.519915,-1.009918,2.600906,-2.011167,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
AHJKRLASYNVKDZ-UHFFFAOYSA-N,"1-chloro-4-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene",ClC(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,NA,-7.199998,F,NA,320.045,109.25,1.08E-02,1.14E-03,-0.009705074,0.152063,0.140349,-0.011714,0.4473,0.2329,170.037,-0.3529,0.2998,-0.01947,0.37782,28,491.6246033,0,-1.295627,-0.168362,0.195377,-0.487502,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
