StdInChIKey,Name,Smile,Sol,LogS,T,Sol_cat,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LUMO,LsoluHsolv,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,any halides,F,Cl,Br,I,carbonyl,ketone,aldehyde,amide,ester,carboxyl,alkene,alkyne,all aromatic,aromatic C,aromatic N,aromatic S,aromatic O,nitrile,1st/2nd amine,nitro,azo,alcohol,ether inc. ester,P,S,thiol,thioamide,sulfonamide,heterocyclic,at least 1 ring,unfused benzene ring,3 membered ring,4 membered ring,5 membered ring,6 membered ring,7 membered ring,H-bond donor,Acidic hydroxyl,H-bond acceptor
ABICJYZKIYUWEE-UHFFFAOYSA-N,"5-nitro-1,3-diazinane-2,4,6-trione",O=[N+]([O-])C1C(=O)NC(=O)NC1=O,NA,-2.28,NA,I,173.0848,183,87.688,-694.5718413,-694.5926609,-0.020819588,-694.515646,-694.535976,-0.02033,3.17,5.5512,-0.31561,-0.12008,0.19919,0.34053,310.5214844,-2.47641,1.97523,-0.66516,0.84196,-3.29649,15,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1
ADIMAYPTOBDMTL-UHFFFAOYSA-N,"7-chloro-3-hydroxy-5-phenyl-1,3-dihydro-1,4-benzodiazepin-2-one",Clc1cc2C(=NC(O)C(=O)Nc2cc1)c1ccccc1,NA,-3.95,NA,H,286.7171,205,193.062,-1298.402301,-1298.419767,-0.01746581,-1298.213824,-1298.231634,-0.01781,4.5943,6.9716,-0.25536,-0.07963,0.23964,0.28028,483.7244263,-1.4361,-0.80515,-0.77795,0.67298,-2.53017,31,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1
AEXMKKGTQYQZCS-UHFFFAOYSA-N,"3,3-dimethylpentane",C(CC)(CC)(C)C,NA,-4.23,NA,G,100.2034,-135,101.009,-276.4017563,-276.4021607,-0.000404331,-276.217649,-276.218571,-0.000922,0.0739,0.0889,-0.30408,0.00508,0.32435,0.329,307.255127,0,-3.75959,-0.69092,0.2397,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFFLGGQVNFXPEV-UHFFFAOYSA-N,dec-1-ene,C(=C)CCCCCCCC,NA,-5.51,NA,F,140.268,-66.15,145.198,-393.1168428,-393.1185181,-0.00167524,-392.877896,-392.880117,-0.002221,0.4904,0.6343,-0.25756,0.00292,0.32219,0.28248,428.4981995,0,-4.64298,-0.68812,0.24795,0,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFOGBLYPWJJVAL-UHFFFAOYSA-N,1-(benzenesulfonyl)-3-butylurea,S(=O)(=O)(NC(=O)NCCCC)c1ccccc1,NA,-3.05,NA,H,256.319,131,239.975,-1162.159257,-1162.179872,-0.02061538,-1161.939707,-1161.960559,-0.020852,4.9796,8.5554,-0.26808,-0.05141,0.26786,0.293,494.6982117,-2.61941,-2.54532,-0.97094,2.33225,-1.88709,33,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1
AFPHTEQTJZKQAQ-UHFFFAOYSA-N,3-Nitrobenzoic acid,O=[N+]([O-])c1cc(C(=O)O)ccc1,NA,-1.71997,NA,J,167.1208,141,100.033,-625.3376121,-625.3548087,-0.017196605,-625.256856,-625.274055,-0.017199,2.7546,3.5778,-0.30497,-0.12605,0.19322,0.32989,326.756073,-2.12886,-0.03167,-0.71122,0.81821,-1.62496,17,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
AFYCEAFSNDLKSX-UHFFFAOYSA-N,7-(diethylamino)-4-methylchromen-2-one,O=c1oc2c(c(C)c1)ccc(N(CC)CC)c2,NA,-4.001,NA,G,231.2938,73.5,150.961,-748.9688058,-748.9836771,-0.014871301,-748.72772,-748.743545,-0.015825,7.5038,10.9806,-0.20531,-0.05948,0.25979,0.23023,459.4943542,-1.1891,-2.61005,-0.71667,0.765,-1.64531,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
AGAHNABIDCTLHW-UHFFFAOYSA-N,1-(4-fluorophenyl)-4-[4-hydroxy-4-(4-methylphenyl)piperidin-1-yl]butan-1-one,Fc1ccc(C(=O)CCCN2CCC(O)(c3ccc(C)cc3)CC2)cc1,NA,-4.347,NA,G,355.4513,118.25,251.597,-1159.075346,-1159.090058,-0.01471138,-1158.695894,-1158.709452,-0.013558,3.1931,3.8766,-0.21567,-0.06728,0.25199,0.24059,645.319397,-1.40728,-4.46255,-0.79361,0.58867,-2.32119,52,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1
AGMMTXLNIQSRCG-UHFFFAOYSA-N,"7-chloro-2-ethyl-4-oxo-2,3-dihydro-1H-quinazoline-6-sulfonamide",Clc1c(S(=O)(=O)N)cc2C(=O)NC(CC)Nc2c1,NA,-3.29,NA,H,289.7361,275.5,204.96,-1636.586825,-1636.613963,-0.02713845,-1636.406824,-1636.43452,-0.027696,7.9423,11.8175,-0.24405,-0.06977,0.2495,0.26897,468.5610657,-2.63081,-1.15669,-1.12123,2.30103,-2.70107,30,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1
AHJKRLASYNVKDZ-UHFFFAOYSA-N,"1-chloro-4-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene",ClC(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,NA,-7.199998,NA,D,320.045,109.25,247.86,-2380.318285,-2380.328009,-0.00972472,-2380.165339,-2380.175287,-0.009948,0.4338,0.3645,-0.25284,-0.05217,0.2671,0.27776,497.0978699,0,-2.59065,-0.3134,0.29032,-0.08827,28,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
